SYMBOL,SERIES,Adjusted_52_Week_High,52WH_Date,Adjusted_52_Week_Low,52WL_Date
20MICRONS,EQ,    283.93,23-JUL-2025,    129.61,30-MAR-2026
21STCENMGM,EQ,     67.00,23-JUN-2025,     28.25,06-APR-2026
360ONE,EQ,   1273.80,07-JUL-2025,    906.05,07-APR-2026
3BBLACKBIO,EQ,   1441.50,10-JUN-2026,   1085.00,02-JUN-2026
3IINFOLTD,EQ,     24.95,17-JUL-2025,     12.68,16-MAR-2026
3MINDIA,EQ,  38030.00,10-FEB-2026,  28275.00,24-JUN-2025
3PLAND,EQ,     52.99,24-JUN-2025,     28.51,30-MAR-2026
5PAISA,EQ,    432.50,07-JUL-2025,    245.50,30-MAR-2026
63MOONS,EQ,   1130.00,17-JUL-2025,    467.00,30-MAR-2026
A2ZINFRA,EQ,     23.25,22-JUL-2025,     13.12,21-JAN-2026
AAATECH,EQ,    136.00,07-OCT-2025,     76.11,26-SEP-2025
AADHARHFC,EQ,    547.80,24-SEP-2025,    411.30,24-JUN-2025
AAKASH,EQ,     13.79,24-JUN-2025,      7.21,30-JAN-2026
AARNAV,EQ,     30.45,20-MAR-2026,     21.00,30-MAR-2026
AARON,EQ,    258.00,25-AUG-2025,    106.80,30-MAR-2026
AARTECH,EQ,     76.24,10-JUL-2025,     33.51,30-MAR-2026
AARTIDRUGS,EQ,    564.05,21-JUL-2025,    318.95,30-MAR-2026
AARTIIND,EQ,    523.10,04-MAY-2026,    338.05,21-JAN-2026
AARTIPHARM,EQ,    971.00,16-JUL-2025,    585.00,30-MAR-2026
AARTISURF,EQ,    587.40,17-JUL-2025,    316.00,30-MAR-2026
AARVI,EQ,    154.70,15-JUN-2026,     96.99,11-AUG-2025
AAVAS,EQ,   2152.90,30-JUN-2025,   1060.40,23-MAR-2026
ABB,EQ,   7822.50,22-APR-2026,   4637.50,21-JAN-2026
ABBOTINDIA,EQ,  37000.00,27-JUN-2025,  25150.00,24-APR-2026
