"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 16-Apr-2026"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"1STCUS$","EQ","-","-","-","-"
"20MICRONS","EQ","    283.93","23-JUL-2025","    129.61","30-MAR-2026"
"21STCENMGM","EQ","     80.70","24-APR-2025","     28.25","06-APR-2026"
"360ONE","EQ","   1273.80","07-JUL-2025","    882.60","09-MAY-2025"
"3BBLACKBI$","EQ","-","-","-","-"
"3BFILMS$","SM","-","-","-","-"
"3CIT$","ST","-","-","-","-"
"3IINFOLTD","EQ","     25.90","15-MAY-2025","     12.68","16-MAR-2026"
"3MINDIA","EQ","  38030.00","10-FEB-2026","  27830.00","28-MAY-2025"
"3PLAND","EQ","     58.79","11-JUN-2025","     28.51","30-MAR-2026"
"4THGEN$","BE","-","-","-","-"
"5PAISA","EQ","    433.70","10-JUN-2025","    245.50","30-MAR-2026"
"63MOONS","EQ","   1130.00","17-JUL-2025","    467.00","30-MAR-2026"
"7NR$","EQ","-","-","-","-"
"7SEASL$","EQ","-","-","-","-"
"7TEC$","EQ","-","-","-","-"
"A1L$","EQ","-","-","-","-"
"A2ZINFRA","BE","     23.25","22-JUL-2025","     12.45","09-MAY-2025"
"AAATECH","EQ","    136.00","07-OCT-2025","     75.00","02-MAY-2025"
"AADHARHFC","EQ","    547.80","24-SEP-2025","    411.30","24-JUN-2025"
"AAIL$","EQ","-","-","-","-"
"AAKAAR","ST","    105.00","21-JUL-2025","     46.00","27-MAR-2026"
"AAKASH","BE","     13.79","24-JUN-2025","      7.06","03-JUN-2025"
"AANANDALA$","BE","-","-","-","-"
"AANCHALIS$","BE","-","-","-","-"
"AAPLUSTRA$","SM","-","-","-","-"
"AARADHYA","SM","    182.00","13-OCT-2025","     79.60","13-APR-2026"
"AARCON$","BE","-","-","-","-"
"AAREYDRUGS","EQ","    100.00","06-NOV-2025","     47.76","05-JUN-2025"
"AARNAV","EQ","     30.45","20-MAR-2026","     21.00","30-MAR-2026"
"AARON","EQ","    258.00","25-AUG-2025","    106.80","30-MAR-2026"
"AARTECH","EQ","     76.79","12-JUN-2025","     33.51","30-MAR-2026"
"AARTIDRUGS","EQ","    564.05","21-JUL-2025","    318.95","30-MAR-2026"
"AARTIIND","EQ","    495.00","28-MAY-2025","    338.05","21-JAN-2026"
"AARTIPHARM","EQ","    971.00","16-JUL-2025","    585.00","30-MAR-2026"
"AARTISURF","EQ","    653.10","19-MAY-2025","    316.00","30-MAR-2026"
"AARVI","EQ","    152.00","17-NOV-2025","     96.99","11-AUG-2025"
"AASHKA$","SM","-","-","-","-"
"AASTAFIN$","EQ","-","-","-","-"
"AATMAJ","SM","     25.50","22-DEC-2025","     16.50","16-APR-2025"
"AAVAS","EQ","   2234.00","22-APR-2025","   1060.40","23-MAR-2026"
"AAYUSH$","EQ","-","-","-","-"
"AAYUSHBUL$","SM","-","-","-","-"
"AB10BKINAV","EQ","-","-","-","-"
"ABANSENT$","EQ","-","-","-","-"
"ABATEAS$","EQ","-","-","-","-"
"ABB","EQ","   6993.00","15-APR-2026","   4637.50","21-JAN-2026"
"ABBOTINDIA","EQ","  37000.00","27-JUN-2025","  25310.00","13-APR-2026"
"ABCAPITAL","EQ","    369.30","06-JAN-2026","    186.69","15-APR-2025"
"ABCINDQ$","EQ","-","-","-","-"
"ABCOTS","EQ","    504.00","24-SEP-2025","    335.00","16-MAR-2026"
