"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 19-Jan-2026"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"20MICRONS","EQ","    283.93","23-JUL-2025","    158.20","12-FEB-2025"
"21STCENMGM","EQ","     88.45","22-JAN-2025","     36.03","27-NOV-2025"
"360ONE","EQ","   1273.80","07-JUL-2025","    790.50","07-APR-2025"
"3IINFOLTD","EQ","     29.91","06-FEB-2025","     14.60","12-JAN-2026"
"3MINDIA","EQ","  37305.00","02-JAN-2026","  25718.15","03-MAR-2025"
"3PLAND","EQ","     59.05","20-JAN-2025","     34.05","26-NOV-2025"
"5PAISA","EQ","    433.70","10-JUN-2025","    287.65","14-NOV-2025"
"63MOONS","EQ","   1130.00","17-JUL-2025","    591.25","18-FEB-2025"
"A2ZINFRA","EQ","     23.90","16-JAN-2025","     12.35","11-APR-2025"
"AAATECH","EQ","    136.00","07-OCT-2025","     66.00","18-MAR-2025"
"AADHARHFC","EQ","    547.80","24-SEP-2025","    346.05","28-JAN-2025"
"AAKAAR","SM","    105.00","21-JUL-2025","     58.05","16-JAN-2026"
"AAKASH","EQ","     13.79","24-JUN-2025","      7.06","03-JUN-2025"
"AARADHYA","SM","    182.00","13-OCT-2025","     97.50","08-SEP-2025"
"AAREYDRUGS","EQ","    100.00","06-NOV-2025","     31.35","18-MAR-2025"
"AARON","EQ","    258.00","25-AUG-2025","    152.48","18-FEB-2025"
"AARTECH","EQ","     78.30","16-JAN-2025","     47.00","30-DEC-2025"
"AARTIDRUGS","EQ","    564.05","21-JUL-2025","    312.00","07-APR-2025"
"AARTIIND","EQ","    495.00","28-MAY-2025","    344.20","07-APR-2025"
"AARTIPHARM","EQ","    971.00","16-JUL-2025","    568.10","01-FEB-2025"
"AARTISURF","EQ","    653.10","19-MAY-2025","    358.30","12-JAN-2026"
"AARVI","EQ","    152.00","17-NOV-2025","     88.00","07-APR-2025"
"AATMAJ","SM","     25.50","22-DEC-2025","     14.50","28-MAR-2025"
"AAVAS","EQ","   2234.00","22-APR-2025","   1415.00","12-JAN-2026"
"ABAN","BE","     61.80","21-JAN-2025","     18.06","12-JAN-2026"
"ABB","EQ","   6579.65","20-JAN-2025","   4684.45","07-APR-2025"
"ABBOTINDIA","EQ","  37000.00","27-JUN-2025","  25325.00","29-JAN-2025"
"ABCAPITAL","EQ","    369.30","06-JAN-2026","    149.01","17-FEB-2025"
"ABCOTS","EQ","    505.50","01-FEB-2025","    370.10","01-SEP-2025"
"ABDL","EQ","    696.80","04-NOV-2025","    279.00","07-APR-2025"
"ABFRL","EQ","    295.70","19-MAY-2025","     70.55","13-JUN-2025"
"ABGSEC","EQ","    113.03","21-JUL-2025","    104.03","16-JAN-2025"
"ABGSECINAV","EQ","-","-","-","-"
"ABHAPOWER","SM","     55.25","21-AUG-2025","     26.45","27-MAR-2025"
"ABINFRA","EQ","     22.50","08-SEP-2025","      6.16","18-FEB-2025"
"ABLBL","EQ","    175.00","23-JUN-2025","    114.25","14-JAN-2026"
"ABMINTLLTD","EQ","     78.21","02-JUL-2025","     36.02","16-JAN-2026"
"ABREL","EQ","   2537.90","17-JUN-2025","   1522.00","16-JAN-2026"
"ABSLAMC","EQ","    908.00","20-AUG-2025","    556.45","07-APR-2025"
"ABSLBAINAV","EQ","-","-","-","-"
"ABSLBANETF","EQ","     63.26","07-JAN-2026","     47.55","18-MAR-2025"
"ABSLLIQUID","EQ","   1030.00","17-JAN-2025","    999.99","16-JAN-2026"
"ABSLLQINAV","EQ","-","-","-","-"
"ABSLNN50ET","EQ","     75.45","04-NOV-2025","     58.37","03-MAR-2025"
"ABSLNNINAV","EQ","-","-","-","-"
"ABSLPSE","EQ","     10.90","07-JUL-2025","      8.00","07-APR-2025"
"ABSMARINE","SM","    259.00","13-NOV-2025","     92.10","27-MAR-2025"
"ABSPSEINAV","EQ","-","-","-","-"
"ACC","EQ","   2119.90","24-APR-2025","   1687.00","12-JAN-2026"
"ACCELYA","EQ","   1574.85","23-JAN-2025","   1218.50","07-APR-2025"
"ACCENTMIC","SM","    378.00","07-JAN-2026","    169.81","03-APR-2025"
"ACCORD","SM","     31.65","14-JAN-2026","     17.50","27-MAR-2025"
"ACCPL","ST","    102.50","01-DEC-2025","     53.80","14-OCT-2025"
"ACCURACY","EQ","     10.24","16-JAN-2025","      5.10","18-NOV-2025"
"ACE","EQ","   1389.00","26-MAY-2025","    845.00","16-JAN-2026"
"ACEINTEG","EQ","     31.24","17-JAN-2025","     19.40","09-JAN-2026"
"ACI","EQ","    727.60","13-AUG-2025","    408.35","17-FEB-2025"
"ACL","EQ","    109.99","08-SEP-2025","     48.15","28-MAR-2025"
"ACMESOLAR","EQ","    324.30","15-SEP-2025","    167.75","28-JAN-2025"
"ACTIVEINFR","SM","    190.00","09-OCT-2025","    147.05","28-APR-2025"
"ACUTAAS","EQ","   2644.00","05-FEB-2025","   1040.50","28-APR-2025"
"ADANIENSOL","EQ","   1067.70","02-JAN-2026","    639.45","03-MAR-2025"
"ADANIENT","EQ","   2616.50","23-SEP-2025","   1967.52","03-MAR-2025"
"ADANIGREEN","EQ","   1177.55","22-SEP-2025","    758.00","03-MAR-2025"
"ADANIPORTS","EQ","   1549.00","01-DEC-2025","   1010.75","30-JAN-2025"
"ADANIPOWER","EQ","    182.70","23-SEP-2025","     92.40","07-APR-2025"
"ADDICTIVE","SM","    339.60","21-JAN-2025","    104.20","25-NOV-2025"
"ADFFOODS","EQ","    300.85","11-JUN-2025","    192.01","12-JAN-2026"
"ADL","EQ","    121.77","17-APR-2025","     62.00","10-MAR-2025"
"ADOR","EQ","   1260.00","16-OCT-2025","    788.00","07-APR-2025"
"ADROITINFO","EQ","     20.30","21-JAN-2025","      9.11","22-DEC-2025"
"ADSL","EQ","    286.74","06-FEB-2025","    127.52","12-JAN-2026"
"ADVANCE","EQ","    154.00","27-OCT-2025","    102.00","10-OCT-2025"
"ADVANIHOTR","EQ","     68.39","21-AUG-2025","     52.29","04-MAR-2025"
"ADVENTHTL","EQ","    345.05","14-NOV-2025","    190.17","09-DEC-2025"
"ADVENZYMES","EQ","    366.25","01-AUG-2025","    257.90","03-MAR-2025"
"AEGISLOG","EQ","    946.50","20-MAY-2025","    609.85","28-JAN-2025"
"AEGISVOPAK","EQ","    302.00","18-JUL-2025","    213.62","16-JAN-2026"
"AEQUS","EQ","    165.40","18-DEC-2025","    134.01","29-DEC-2025"
"AEROENTER","EQ","    124.40","17-JAN-2025","     72.14","07-APR-2025"
"AEROFLEX","EQ","    272.00","06-FEB-2025","    148.01","07-APR-2025"
"AERON","SM","    170.95","24-JAN-2025","     89.05","08-DEC-2025"
"AERONEU","EQ","    125.37","10-SEP-2025","     67.00","18-FEB-2025"
"AESTHETIK","SM","    155.60","25-SEP-2025","     60.00","07-FEB-2025"
"AETHER","EQ","   1021.75","06-JAN-2026","    725.00","21-MAY-2025"
"AFCONS","EQ","    537.85","21-JAN-2025","    353.50","16-JAN-2026"
"AFFLE","EQ","   2185.90","22-SEP-2025","   1246.00","07-APR-2025"
"AFFORDABLE","EQ","    629.90","16-JAN-2025","    182.35","14-JAN-2026"
"AFIL","EQ","     10.16","17-APR-2025","      5.47","12-JAN-2026"
"AFSL","EQ","    269.50","11-JUN-2025","    165.49","03-FEB-2025"
"AGARIND","EQ","   1202.65","21-JAN-2025","    667.85","09-DEC-2025"
"AGARWALEYE","EQ","    568.00","16-OCT-2025","    327.00","30-MAY-2025"
"AGARWALFT","SM","     71.25","05-SEP-2025","     37.00","14-JAN-2026"
"AGARWALTUF","SM","    174.05","24-SEP-2025","     81.00","04-MAR-2025"
"AGI","EQ","   1089.40","21-JAN-2025","    599.10","03-MAR-2025"
"AGIIL","EQ","    308.80","08-JAN-2026","    137.00","07-APR-2025"
"AGNI","SM","     43.35","04-SEP-2025","     17.90","28-MAR-2025"
"AGRITECH","BE","    217.85","01-FEB-2025","    103.25","25-NOV-2025"
"AGROPHOS","EQ","     47.60","31-JUL-2025","     27.20","03-MAR-2025"
"AGSTRA","BZ","     67.00","20-JAN-2025","      3.78","12-MAY-2025"
"AGUL","SM","     70.50","11-SEP-2025","     37.30","08-MAY-2025"
"AHCL","EQ","    172.75","28-NOV-2025","     90.78","03-SEP-2025"
"AHIMSA","ST","     62.50","16-JAN-2025","     22.10","13-MAR-2025"
"AHLADA","EQ","     99.99","22-JAN-2025","     45.85","08-DEC-2025"
"AHLEAST","EQ","    168.00","02-SEP-2025","    122.78","07-APR-2025"
"AHLUCONT","EQ","   1125.00","15-JUL-2025","    620.00","18-FEB-2025"
"AIAENG","EQ","   4168.70","08-JAN-2026","   3001.10","28-AUG-2025"
"AIIL","EQ","    683.00","13-JAN-2026","    265.10","28-FEB-2025"
"AILIMITED","SM","     90.90","02-MAY-2025","     29.30","14-JAN-2026"
"AIMTRON","ST","   1040.00","21-NOV-2025","    358.00","07-APR-2025"
"AIRAN","EQ","     35.90","21-JAN-2025","     15.99","14-JAN-2026"
"AIROLAM","EQ","    137.04","10-JUN-2025","     83.50","07-MAY-2025"
"AISL","SM","    164.85","01-FEB-2025","     77.00","01-SEP-2025"
"AJANTPHARM","EQ","   3079.90","03-FEB-2025","   2327.30","07-APR-2025"
"AJAXENGG","EQ","    756.20","14-MAY-2025","    549.10","07-APR-2025"
"AJMERA","EQ","    221.40","03-NOV-2025","    136.31","03-MAR-2025"
"AJOONI","EQ","      8.17","21-JAN-2025","      3.90","16-JAN-2026"
"AKANKSHA","SM","    150.00","17-JAN-2025","     63.00","16-JAN-2026"
"AKASH","EQ","     36.45","22-JAN-2025","     23.00","07-APR-2025"
"AKG","EQ","     18.75","22-JAN-2025","     11.24","07-APR-2025"
"AKI","EQ","     16.05","11-JUL-2025","      5.77","13-JAN-2026"
"AKIKO","ST","    299.30","17-NOV-2025","     62.00","22-JUL-2025"
"AKSHAR","EQ","       .76","13-OCT-2025","       .47","01-JAN-2026"
"AKSHARCHEM","EQ","    330.80","28-AUG-2025","    195.00","27-MAR-2025"
"AKSHOPTFBR","EQ","     12.95","21-APR-2025","      5.55","09-DEC-2025"
"AKUMS","EQ","    636.00","17-JAN-2025","    405.00","07-APR-2025"
"AKZOINDIA","EQ","   3957.90","17-JAN-2025","   3022.00","03-MAR-2025"
"ALANKIT","EQ","     20.97","20-JAN-2025","      9.99","14-JAN-2026"
"ALBERTDAVD","EQ","   1260.55","16-JAN-2025","    703.80","16-JAN-2026"
"ALCODIS","SM","    208.50","05-MAY-2025","     81.50","16-JAN-2026"
"ALEMBICLTD","EQ","    128.49","21-JAN-2025","     85.46","03-MAR-2025"
"ALGOQUANT","EQ","     71.01","06-JAN-2026","     61.00","09-JAN-2026"
"ALICON","EQ","   1050.00","10-FEB-2025","    597.15","07-APR-2025"
"ALIVUS","EQ","   1251.00","06-FEB-2025","    847.20","08-DEC-2025"
"ALKALI","EQ","    117.79","21-MAY-2025","     74.00","07-APR-2025"
"ALKEM","EQ","   5933.50","13-JAN-2026","   4491.65","28-FEB-2025"
"ALKYLAMINE","EQ","   2438.80","07-JUL-2025","   1506.70","12-JAN-2026"
"ALLCARGO","EQ","     45.67","20-JAN-2025","     10.01","16-JAN-2026"
"ALLDIGI","EQ","   1114.40","21-JAN-2025","    800.00","09-DEC-2025"
"ALLETEC","SM","    527.95","21-JAN-2025","    200.00","18-DEC-2025"
"ALLTIME","EQ","    334.90","25-AUG-2025","    234.30","14-JAN-2026"
"ALMONDZ","EQ","     34.25","24-JAN-2025","     14.41","18-DEC-2025"
"ALOKINDS","EQ","     23.50","08-JUL-2025","     14.01","07-APR-2025"
"ALPA","EQ","    132.79","20-JAN-2025","     70.13","14-JAN-2026"
"ALPEXSOLAR","SM","   1449.70","12-AUG-2025","    495.00","18-MAR-2025"
"ALPHA","EQ","     52.94","02-JUL-2025","     39.00","07-APR-2025"
"ALPHAETF","EQ","     26.53","28-NOV-2025","     19.61","04-MAR-2025"
"ALPHAGEO","EQ","    438.25","21-JAN-2025","    211.00","18-DEC-2025"
"ALPL30IETF","EQ","     28.72","30-OCT-2025","     24.00","07-APR-2025"
"ALPSINDUS","BE","      4.01","23-DEC-2025","      1.60","07-OCT-2025"
"ALUWIND","SM","     95.80","22-SEP-2025","     48.00","07-APR-2025"
"AMANTA","EQ","    154.40","23-SEP-2025","     97.75","09-DEC-2025"
"AMBANIORGO","SM","    143.65","10-SEP-2025","     96.15","15-MAY-2025"
"AMBER","EQ","   8626.00","29-OCT-2025","   5235.00","18-FEB-2025"
"AMBEY","SM","     61.00","17-JAN-2025","     31.05","13-NOV-2025"
"AMBICAAGAR","EQ","     36.95","06-FEB-2025","     23.99","17-MAR-2025"
"AMBIKCO","EQ","   1700.00","05-JUN-2025","   1174.80","12-JAN-2026"
"AMBUJACEM","EQ","    624.95","22-JUL-2025","    455.00","03-MAR-2025"
"AMCL","ST","    385.00","26-DEC-2025","    161.70","25-AUG-2025"
"AMDIND","EQ","     68.07","22-SEP-2025","     39.85","18-MAR-2025"
"AMEYA","SM","    127.25","11-JUN-2025","     89.30","16-JAN-2026"
"AMIABLE","ST","    110.00","10-FEB-2025","     54.00","17-NOV-2025"
"AMJLAND","EQ","     68.90","16-JUN-2025","     41.87","07-APR-2025"
"AMJUMBO","SM","     12.60","27-JAN-2025","      5.75","08-JUL-2025"
"AMNPLST","EQ","    318.00","21-JAN-2025","    170.00","15-DEC-2025"
"AMRUTANJAN","EQ","    790.95","08-SEP-2025","    544.10","30-APR-2025"
"ANANDRATHI","EQ","   3321.40","14-OCT-2025","   1594.00","13-MAR-2025"
"ANANTAM","IV","    113.00","16-OCT-2025","    100.20","17-NOV-2025"
"ANANTRAJ","EQ","    928.00","21-JAN-2025","    376.15","07-APR-2025"
"ANDHRAPAP","EQ","     91.80","16-JAN-2025","     62.04","12-JAN-2026"
"ANDHRSUGAR","EQ","     94.75","20-JAN-2025","     65.10","07-APR-2025"
"ANGELONE","EQ","   3285.00","05-JUN-2025","   1941.00","13-MAR-2025"
"ANIKINDS","EQ","    133.00","04-APR-2025","     42.00","13-JAN-2026"
"ANKITMETAL","BZ","      3.95","20-JAN-2025","      1.55","07-NOV-2025"
"ANLON","SM","    497.00","11-SEP-2025","    239.00","13-MAR-2025"
"ANMOL","EQ","     24.67","21-JAN-2025","     12.90","07-NOV-2025"
"ANNAPURNA","SM","    412.75","16-JAN-2025","    180.00","07-JAN-2026"
"ANONDITA","ST","   1037.45","01-JAN-2026","    261.75","01-SEP-2025"
"ANSALAPI","BZ","      9.40","20-JAN-2025","      3.15","08-JAN-2026"
"ANTELOPUS","EQ","    829.75","17-JAN-2025","    357.00","13-JAN-2026"
"ANTGRAPHIC","EQ","      1.62","12-JUN-2025","       .77","12-DEC-2025"
"ANTHEM","EQ","    873.50","18-SEP-2025","    604.00","12-JAN-2026"
