"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 20-Mar-2026"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"20MICRONS","EQ","    283.93","23-JUL-2025","    146.35","16-MAR-2026"
"21STCENMGM","EQ","     80.70","24-APR-2025","     32.01","19-MAR-2026"
"360ONE","EQ","   1273.80","07-JUL-2025","    790.50","07-APR-2025"
"3IINFOLTD","EQ","     25.90","15-MAY-2025","     12.68","16-MAR-2026"
"3MINDIA","EQ","  38030.00","10-FEB-2026","  26820.10","07-APR-2025"
"3PLAND","EQ","     58.79","11-JUN-2025","     28.51","16-MAR-2026"
"5PAISA","EQ","    433.70","10-JUN-2025","    286.05","19-MAR-2026"
"63MOONS","EQ","   1130.00","17-JUL-2025","    526.80","19-MAR-2026"
"A2ZINFRA","BE","     23.25","22-JUL-2025","     12.35","11-APR-2025"
"AAATECH","EQ","    136.00","07-OCT-2025","     67.40","19-MAR-2025"
"AADHARHFC","EQ","    547.80","24-SEP-2025","    399.35","26-MAR-2025"
"AAKAAR","ST","    105.00","21-JUL-2025","     46.25","13-FEB-2026"
"AAKASH","BE","     13.79","24-JUN-2025","      7.06","03-JUN-2025"
"AARADHYA","SM","    182.00","13-OCT-2025","     97.50","08-SEP-2025"
"AAREYDRUGS","EQ","    100.00","06-NOV-2025","     32.85","28-MAR-2025"
"AARNAV","EQ","     29.00","25-FEB-2026","     22.99","09-MAR-2026"
"AARON","EQ","    258.00","25-AUG-2025","    135.01","04-MAR-2026"
"AARTECH","EQ","     76.79","12-JUN-2025","     38.81","09-MAR-2026"
"AARTIDRUGS","EQ","    564.05","21-JUL-2025","    312.00","07-APR-2025"
"AARTIIND","EQ","    495.00","28-MAY-2025","    338.05","21-JAN-2026"
"AARTIPHARM","EQ","    971.00","16-JUL-2025","    574.45","07-APR-2025"
