Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,dly,pctdly
1/23/15,223.85,227.45,228.9,219.7,222.95,223.1,223.06,4098897,9.14E+13,45856,1681323,0.4102
1/27/15,223.1,224.9,224.9,219.5,222.75,222.95,221.93,2373640,5.27E+13,22320,899413,0.3789
1/28/15,222.95,222.9,227.85,220.4,222.95,223.55,224.66,2889375,6.49E+13,34593,906884,0.3139
1/29/15,223.55,222.85,224.95,216.15,217.2,217.15,219.35,4185095,9.18E+13,41503,1923240,0.4595
1/30/15,217.15,220.7,220.7,185.6,192.2,193.15,196.49,26571571,5.22E+14,182742,8264280,0.311
2/2/15,193.15,192,192.05,183.75,188.4,187.85,187.56,9608649,1.80E+14,94980,2867866,0.2985
2/3/15,187.85,190,191.9,184.4,185.5,185.05,187.89,7684466,1.44E+14,69354,2217895,0.2886
2/4/15,185.05,186.8,188,182.05,184.45,184.9,185.4,4629789,8.58E+13,42650,1105613,0.2388
2/5/15,184.9,185.8,185.8,175.3,176.45,177.55,180.73,6190147,1.12E+14,55422,2777394,0.4487
2/6/15,177.55,175.55,177.7,169.35,175.7,175.95,174.36,9804062,1.71E+14,70639,3057489,0.3119
2/9/15,175.95,175,178.25,172.5,173.35,173.45,174.83,5120528,8.95E+13,47212,1816150,0.3547
2/10/15,173.45,171.2,181.2,171,177.55,176.4,177.32,6840733,1.21E+14,62005,2043448,0.2987
2/11/15,176.4,177.9,182.85,177.2,180.3,180.95,180.01,4844214,8.72E+13,46453,1732659,0.3577
2/12/15,180.95,182.35,182.35,178.05,180.65,180.8,180.06,3925259,7.07E+13,35793,1675551,0.4269
2/13/15,180.8,182.7,185.3,180.2,181.8,182.95,183.43,6503715,1.19E+14,48193,3246931,0.4992
2/16/15,182.95,182.95,184.6,180,182.35,182.75,182.72,3812278,6.97E+13,43836,1629680,0.4275
2/18/15,182.75,183,184.1,180,183.35,183.2,182.46,2911544,5.31E+13,40766,1149931,0.395
2/19/15,183.2,183.95,184.4,175.5,179,178.55,178.48,3680925,6.57E+13,36241,1057547,0.2873
2/20/15,178.55,179,186.9,176.5,183.65,183.3,183.12,5045503,9.24E+13,65987,1488621,0.295
2/23/15,183.3,183.65,186.05,180.5,181.5,182.35,182.87,2602925,4.76E+13,23555,582513,0.2238
2/24/15,182.35,181.95,181.95,175.55,176.65,176.75,177.61,5597490,9.94E+13,53968,1830335,0.327
2/25/15,176.75,178.3,179.9,176.25,176.9,177.15,178.05,2460589,4.38E+13,22184,712396,0.2895
2/26/15,177.15,177.65,178.1,170.05,172,171.35,172.92,6028053,1.04E+14,46048,3036271,0.5037
2/27/15,171.35,174.65,182,173.25,181.6,181,178.38,7519323,1.34E+14,53307,3010130,0.4003
2/28/15,181,185,191.5,176.2,185.2,185.2,185.69,11845497,2.20E+14,89677,2350107,0.1984
3/2/15,185.2,186.75,187.15,179.3,182.8,182.4,182.51,6392228,1.17E+14,50766,1814100,0.2838
3/3/15,182.4,183.1,189,181.65,188.5,187.2,184.46,4600689,8.49E+13,37466,1094099,0.2378
3/4/15,187.2,198,198.7,179.1,180.2,180.4,189.03,10089085,1.91E+14,74894,3191191,0.3163
3/5/15,180.4,181,184.95,178.7,184.25,184.05,181.6,4903762,8.91E+13,43854,1417699,0.2891
3/9/15,184.05,181.9,182.9,178.2,180,180.05,180.39,3673996,6.63E+13,31164,1270458,0.3458
3/10/15,180.05,180.05,182.8,176,180.4,179.85,179.28,4343844,7.79E+13,27403,1387863,0.3195
3/11/15,179.85,180.5,181.05,175.55,176.6,176.9,177.88,5397609,9.60E+13,39039,2018965,0.374
3/12/15,176.9,178.5,181.75,177.7,180.2,179.85,179.65,3287802,5.91E+13,24526,1201522,0.3654
3/13/15,179.85,182,182,176.75,179.2,179,178.96,3943207,7.06E+13,23982,1541833,0.391
3/16/15,179,179.5,184,177.1,182.9,182.65,181.17,2505846,4.54E+13,20729,628565,0.2508
3/17/15,182.65,183.5,184,178.6,182.1,182.4,182.34,8351223,1.52E+14,24997,5941097,0.7114
3/18/15,182.4,182.5,185.25,181.15,182.2,182.25,183.49,5675528,1.04E+14,20960,3977434,0.7008
3/19/15,182.25,184.45,184.5,174.7,175.35,176.5,180.04,3985822,7.18E+13,26367,1715396,0.4304
3/20/15,176.5,175.9,175.9,171.45,172.35,172.65,173.88,4641618,8.07E+13,30104,2194915,0.4729
3/23/15,172.65,173.7,173.85,169,169.4,169.65,170.61,3823894,6.52E+13,31078,1780907,0.4657
3/24/15,169.65,168.8,169.7,165.15,167.7,167.9,167.71,4820887,8.09E+13,33798,1862040,0.3862
3/25/15,167.9,168,168.8,163.8,166.2,165.85,165.65,3645828,6.04E+13,27944,1108385,0.304
3/26/15,165.85,164.3,167.4,159.9,163.3,161,163.7,5071690,8.30E+13,56345,2155724,0.4251
3/27/15,161,163,163.1,155.4,160.65,160.95,159.61,5769981,9.21E+13,61785,1846569,0.32
3/30/15,160.95,162.65,164.7,157.65,163.9,163.85,161.63,3858765,6.24E+13,40973,1134573,0.294
3/31/15,163.85,164.8,167.9,162.2,162.95,163.5,165.21,3106448,5.13E+13,26708,599956,0.1931
4/1/15,163.5,162.75,170.4,162.05,170.4,168.9,166.36,2949846,4.91E+13,22150,941796,0.3193
4/6/15,168.9,170,171,166.25,168,168.5,168.16,3290047,5.53E+13,23914,1264959,0.3845
4/7/15,168.5,169.5,172.1,167.05,170.6,170.05,169.45,4180773,7.08E+13,29169,1332930,0.3188
4/8/15,170.05,170.9,172,167.1,168.5,168.85,168.98,3861270,6.52E+13,46178,1722841,0.4462
4/9/15,168.85,170,173.7,166.9,171.6,171.75,171.68,6614147,1.14E+14,51060,2555088,0.3863
4/10/15,171.75,171.8,175.25,170.9,173.9,174.2,173.44,3006064,5.21E+13,20348,950978,0.3164
4/13/15,174.2,175,177.9,174.1,174.45,175.55,175.79,3611426,6.35E+13,22828,1699058,0.4705
4/15/15,175.55,175,180.95,174.6,176.7,178.5,177.65,5417127,9.62E+13,35364,1774674,0.3276
4/16/15,178.5,177.65,178.45,172.65,177.05,177.15,175.99,3639137,6.40E+13,30191,948789,0.2607
4/17/15,177.15,176.65,178.5,173.3,178.2,177.6,176.47,4959230,8.75E+13,47250,1905772,0.3843
4/20/15,177.6,177.5,182.9,177.1,179.45,179.5,180.07,4825832,8.69E+13,32203,1346619,0.279
4/21/15,179.5,177.05,180.9,174.55,180.15,180.15,178.76,3869287,6.92E+13,31528,972455,0.2513
4/22/15,180.15,180.7,181.5,177.1,179.65,179.85,179.59,4312011,7.74E+13,26271,1309910,0.3038
4/23/15,179.85,181,181.85,177.25,179.6,179.45,179.52,2881464,5.17E+13,17648,925177,0.3211
4/24/15,179.45,179.05,179.8,172.65,173.5,174.15,175.36,3767395,6.61E+13,29021,1634798,0.4339
4/27/15,174.15,173.3,173.9,168.3,171,170.85,170.97,3785253,6.47E+13,25105,1122836,0.2966
4/28/15,170.85,170,174.7,168.55,173.45,173.45,172.47,3662553,6.32E+13,26992,1247483,0.3406
4/29/15,173.45,173.2,174.8,170.8,171.4,171.85,173.18,2612681,4.52E+13,15388,1040018,0.3981
4/30/15,171.85,171,171.45,167.4,168.6,169,169.18,7842228,1.33E+14,32889,3925868,0.5006
5/4/15,169,170,171.8,169,170.95,170.7,170.58,3008312,5.13E+13,36212,1185338,0.394
5/5/15,170.7,170.6,172.65,169.1,169.75,170,170.7,2534193,4.33E+13,22129,810123,0.3197
5/6/15,170,169.4,169.8,160.6,161.3,162.15,164.11,5258349,8.63E+13,48909,2533867,0.4819
5/7/15,162.15,161.4,161.5,151.15,153.35,153.45,156.19,4557160,7.12E+13,46797,1555859,0.3414
5/8/15,153.45,155.05,156.2,142.7,145.4,145.1,147.98,10251402,1.52E+14,83869,4778876,0.4662
5/11/15,145.1,146.1,171,143.8,169.5,169.7,162.12,41425174,6.72E+14,260940,4260720,0.1029
5/12/15,169.7,166.7,166.7,157,157,158.4,160.67,14873892,2.39E+14,98169,1959672,0.1318
5/13/15,158.4,158.7,164.2,156.15,161.9,162.45,161.15,10010370,1.61E+14,65138,1788545,0.1787
5/14/15,162.45,161.9,165.35,158.5,165.25,164.55,162.82,5794416,9.43E+13,49197,786017,0.1357
5/15/15,164.55,164.6,166.85,159.5,160.35,160.15,162.4,5242230,8.51E+13,43530,1542114,0.2942
5/18/15,160.15,161.2,163,158.35,162.8,162,160.81,4664516,7.50E+13,32741,1494143,0.3203
5/19/15,162,162.4,163.5,159.5,160.35,160.65,161.9,5172399,8.37E+13,28164,2404465,0.4649
5/20/15,160.65,161.35,162.65,159.1,159.5,159.75,160.29,6020396,9.65E+13,33305,3382874,0.5619
5/21/15,159.75,160,160.95,154.4,156.6,156.55,156.41,9769684,1.53E+14,41204,6103402,0.6247
5/22/15,156.55,157.2,161.7,154.1,154.8,155.4,158.91,10826845,1.72E+14,60270,4527820,0.4182
5/25/15,155.4,154.7,160.35,153.7,158,157.8,158.63,7072782,1.12E+14,39737,2729521,0.3859
5/26/15,157.8,157.8,159.95,156.65,159.45,159.45,158.74,4424001,7.02E+13,25470,1879571,0.4249
5/27/15,159.45,158,162.45,157.5,161,161.15,161.24,5157528,8.32E+13,29421,2037585,0.3951
5/28/15,161.15,162,162.8,159.3,160.25,160.1,160.47,6754062,1.08E+14,29115,3246585,0.4807
5/29/15,160.1,161.05,163.4,160.2,162.75,162.6,162.37,3062331,4.97E+13,18682,849162,0.2773
6/1/15,162.6,162.95,165.5,162.8,165.4,165.2,164.75,2676738,4.41E+13,18267,1280369,0.4783
6/2/15,165.2,165,165.4,158.1,161.15,160.4,161.39,6924607,1.12E+14,38200,2615533,0.3777
6/3/15,160.4,160.4,162.1,157.6,162,161.25,160.22,4401831,7.05E+13,29356,1587533,0.3607
6/4/15,161.25,161.5,164.15,158.85,161.85,161.7,161.7,4143649,6.70E+13,23749,1265440,0.3054
6/5/15,161.7,160.75,164,158.35,159.2,160.25,162.14,3279486,5.32E+13,19874,1391969,0.4244
6/8/15,160.25,160.6,160.6,153.25,154.5,155.8,155.86,3945209,6.15E+13,29074,1462586,0.3707
6/9/15,155.8,154.15,157.5,151.7,153.5,153.15,153.74,3763411,5.79E+13,24128,1464445,0.3891
6/10/15,153.15,153.85,156.2,151.75,153.8,152.95,154.17,2524002,3.89E+13,17578,814787,0.3228
6/11/15,152.95,155,155.5,147.2,147.4,148.5,150.35,5764683,8.67E+13,34039,2622699,0.455
