Stock|  | Issued Shares|  | Total Market Cap|  | FreeFloatMarketCap
TATASTEELM| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
TATAPOWER| "Issued Capital (Shares)"| "3,19,53,39,547"| Total Market Cap (₹ Lakhs)| 86,91,323.57| Free Float Market Cap (₹ Lakhs)| 39,11,095.61
TATACONSUM| "Issued Capital (Shares)"| "92,90,11,650"| Total Market Cap (₹ Lakhs)| 80,17,370.54| Free Float Market Cap (₹ Lakhs)| 51,31,117.15
TATAMOTORS| "Issued Capital (Shares)"| "3,32,18,61,782"| Total Market Cap (₹ Lakhs)| 2,10,92,161.38| Free Float Market Cap (₹ Lakhs)| 1,11,78,845.53
AARTIIND| "Issued Capital (Shares)"| "36,25,04,035"| Total Market Cap (₹ Lakhs)| 18,71,608.33| Free Float Market Cap (₹ Lakhs)| 10,29,384.58
AARTIIND| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
AARTIIND| "Issued Capital (Shares)"| "36,25,04,035"| Total Market Cap (₹ Lakhs)| 18,71,608.33| Free Float Market Cap (₹ Lakhs)| 10,29,384.58
AARTIIND| "Issued Capital (Shares)"| "36,25,04,035"| Total Market Cap (₹ Lakhs)| 18,71,608.33| Free Float Market Cap (₹ Lakhs)| 10,29,384.58
ABB| "Issued Capital (Shares)"| "21,19,08,375"| Total Market Cap (₹ Lakhs)| 97,90,166.93| Free Float Market Cap (₹ Lakhs)| 24,47,541.73
ABBOTINDIA| "Issued Capital (Shares)"| "1,36,75,240"| Total Market Cap (₹ Lakhs)| 31,49,277.86| Free Float Market Cap (₹ Lakhs)| 7,87,319.46
AARTIIND| "Issued Capital (Shares)"| "36,25,04,035"| Total Market Cap (₹ Lakhs)| 18,71,608.33| Free Float Market Cap (₹ Lakhs)| 10,29,384.58
ABB| "Issued Capital (Shares)"| "21,19,08,375"| Total Market Cap (₹ Lakhs)| 97,90,166.93| Free Float Market Cap (₹ Lakhs)| 24,47,541.73
ABBOTINDIA| "Issued Capital (Shares)"| "1,36,75,240"| Total Market Cap (₹ Lakhs)| 31,49,277.86| Free Float Market Cap (₹ Lakhs)| 7,87,319.46
ACC| "Issued Capital (Shares)"| "18,77,87,263"| Total Market Cap (₹ Lakhs)| 38,55,272.51| Free Float Market Cap (₹ Lakhs)| 16,57,767.18
ADANIENT| "Issued Capital (Shares)"| "1,14,00,01,121"| Total Market Cap (₹ Lakhs)| 2,97,76,829.28| Free Float Market Cap (₹ Lakhs)| 80,39,743.91
ADANIPORTS| "Issued Capital (Shares)"| "2,16,01,38,945"| Total Market Cap (₹ Lakhs)| 1,90,85,907.65| Free Float Market Cap (₹ Lakhs)| 74,43,503.98
ABCAPITAL| "Issued Capital (Shares)"| "2,59,86,03,153"| Total Market Cap (₹ Lakhs)| 49,41,243.90| Free Float Market Cap (₹ Lakhs)| 13,34,135.85
ABFRL| "Issued Capital (Shares)"| "94,89,67,213"| Total Market Cap (₹ Lakhs)| 22,16,787.41| Free Float Market Cap (₹ Lakhs)| 7,75,875.59
ALKEM| "Issued Capital (Shares)"| "11,95,65,000"| Total Market Cap (₹ Lakhs)| 43,52,166.00| Free Float Market Cap (₹ Lakhs)| 17,84,388.06
AMARAJABAT| "Issued Capital (Shares)"| "17,08,12,500"| Total Market Cap (₹ Lakhs)| 11,26,508.44| Free Float Market Cap (₹ Lakhs)| 6,53,374.89
AMBUJACEM| "Issued Capital (Shares)"| "1,98,56,45,229"| Total Market Cap (₹ Lakhs)| 89,36,396.35| Free Float Market Cap (₹ Lakhs)| 33,06,466.65
APOLLOHOSP| "Issued Capital (Shares)"| "14,37,84,657"| Total Market Cap (₹ Lakhs)| 73,24,965.57| Free Float Market Cap (₹ Lakhs)| 51,27,475.90
APOLLOTYRE| "Issued Capital (Shares)"| "63,51,00,946"| Total Market Cap (₹ Lakhs)| 24,38,152.53| Free Float Market Cap (₹ Lakhs)| 12,67,839.32
ASHOKLEY| Total Market Cap (₹ Lakhs)| 54,31,835.46| Free Float Market Cap (₹ Lakhs)| 26,61,599.38
ASIANPAINT| Total Market Cap (₹ Lakhs)| 3,12,69,847.95| Free Float Market Cap (₹ Lakhs)| 1,46,96,828.54
ASTRAL| "Issued Capital (Shares)"| "26,86,19,291"| Total Market Cap (₹ Lakhs)| 51,65,548.97| Free Float Market Cap (₹ Lakhs)| 22,72,841.55
ATUL| "Issued Capital (Shares)"| "2,95,13,755"| Total Market Cap (₹ Lakhs)| 22,32,715.57| Free Float Market Cap (₹ Lakhs)| 12,05,666.41
AUBANK| "Issued Capital (Shares)"| "66,80,00,028"| Total Market Cap (₹ Lakhs)| 49,19,820.21| Free Float Market Cap (₹ Lakhs)| 35,42,270.55
AUROPHARMA| "Issued Capital (Shares)"| "58,59,38,609"| Total Market Cap (₹ Lakhs)| 50,88,583.85| Free Float Market Cap (₹ Lakhs)| 24,42,520.25
AXISBANK| "Issued Capital (Shares)"| "3,08,09,01,302"| Total Market Cap (₹ Lakhs)| 3,09,01,440.06| Free Float Market Cap (₹ Lakhs)| 2,75,02,281.65
BAJAJ-AUTO| "Issued Capital (Shares)"| "28,29,57,358"| Total Market Cap (₹ Lakhs)| 1,36,10,248.92| Free Float Market Cap (₹ Lakhs)| 54,44,099.57
BAJFINANCE| "Issued Capital (Shares)"| "60,59,18,538"| Total Market Cap (₹ Lakhs)| 4,47,77,379.96| Free Float Market Cap (₹ Lakhs)| 1,97,02,047.18
BAJAJFINSV| "Issued Capital (Shares)"| "1,59,54,88,813"| Total Market Cap (₹ Lakhs)| 2,47,30,076.60| Free Float Market Cap (₹ Lakhs)| 84,08,226.04
BALKRISIND| "Issued Capital (Shares)"| "19,33,17,190"| Total Market Cap (₹ Lakhs)| 46,98,767.62| Free Float Market Cap (₹ Lakhs)| 19,26,494.72
BALRAMCHIN| "Issued Capital (Shares)"| "20,17,49,245"| Total Market Cap (₹ Lakhs)| 8,47,346.83| Free Float Market Cap (₹ Lakhs)| 4,82,987.69
BANDHANBNK| "Issued Capital (Shares)"| "1,61,08,64,617"| Total Market Cap (₹ Lakhs)| 39,14,401.02| Free Float Market Cap (₹ Lakhs)| 18,00,624.47
BANKBARODA| "Issued Capital (Shares)"| "5,17,13,62,179"| Total Market Cap (₹ Lakhs)| 1,04,92,693.86| Free Float Market Cap (₹ Lakhs)| 37,77,369.79
BATAINDIA| Total Market Cap (₹ Lakhs)| 22,07,460.50| Free Float Market Cap (₹ Lakhs)| 11,03,730.25
BERGEPAINT| "Issued Capital (Shares)"| "97,14,22,485"| Total Market Cap (₹ Lakhs)| 70,13,670.34| Free Float Market Cap (₹ Lakhs)| 16,83,280.88
BEL| "Issued Capital (Shares)"| "7,30,97,78,829"| Total Market Cap (₹ Lakhs)| 1,05,69,940.19| Free Float Market Cap (₹ Lakhs)| 51,79,270.69
BHARATFORG| "Issued Capital (Shares)"| "46,55,88,632"| Total Market Cap (₹ Lakhs)| 51,86,657.36| Free Float Market Cap (₹ Lakhs)| 28,52,661.55
BHEL| "Issued Capital (Shares)"| "3,48,20,63,355"| Total Market Cap (₹ Lakhs)| 48,74,888.70| Free Float Market Cap (₹ Lakhs)| 18,03,708.82
BPCL| "Issued Capital (Shares)"| "2,16,92,52,744"| Total Market Cap (₹ Lakhs)| 78,78,725.97| Free Float Market Cap (₹ Lakhs)| 34,66,639.43
BHARTIARTL| "Issued Capital (Shares)"| "5,59,26,48,369"| Total Market Cap (₹ Lakhs)| 4,96,06,791.03| Free Float Market Cap (₹ Lakhs)| 2,23,23,055.96
BIOCON| Total Market Cap (₹ Lakhs)| 33,12,455.40| Free Float Market Cap (₹ Lakhs)| 12,25,608.50
BSOFT| "Issued Capital (Shares)"| "27,53,81,945"| Total Market Cap (₹ Lakhs)| 14,01,694.10| Free Float Market Cap (₹ Lakhs)| 8,26,999.52
BOSCHLTD| Total Market Cap (₹ Lakhs)| 57,42,411.71| Free Float Market Cap (₹ Lakhs)| 16,65,299.40
BRITANNIA| "Issued Capital (Shares)"| "24,08,68,296"| Total Market Cap (₹ Lakhs)| 1,10,05,272.44| Free Float Market Cap (₹ Lakhs)| 53,92,583.50
CANFINHOME| Total Market Cap (₹ Lakhs)| 10,48,721.89| Free Float Market Cap (₹ Lakhs)| 6,60,694.79
CANBK| "Issued Capital (Shares)"| "1,81,41,30,252"| Total Market Cap (₹ Lakhs)| 65,30,868.91| Free Float Market Cap (₹ Lakhs)| 24,16,421.50
CHAMBLFERT| "Issued Capital (Shares)"| "41,62,07,852"| Total Market Cap (₹ Lakhs)| 11,80,781.68| Free Float Market Cap (₹ Lakhs)| 4,48,697.04
