sn,symbol,companyName,industry,industryInfo.macro,industryInfo.sector,industryInfo.industry,industryInfo.basicIndustry,priceInfo.lastPrice,MarketCap,ffmc,impactCost,DailyVol,Yearlyvol,ff_shares,total_shares,ff_per
1,20MICRONS,20 Microns Limited,Industrial Minerals,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,263.15,928.56,510.7540076,0.17,3.39,64.77,19409234.57,35286338.59,55.00
2,21STCENMGM,21st Century Management Services Limited,Other Capital Market related Services,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services,98.68,103.61,29.90942447,0.36,2.09,39.93,3030951,10499594.65,28.87
3,360ONE,360 ONE WAM LIMITED,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,964.85,35188.74,13377.81041,0.06,2.34,44.71,138651711.7,364706845.6,38.02
4,3IINFOLTD,3i Infotech Limited,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,29.64,502.11,449.3475352,0.13,2.99,57.12,151601732.5,169402834,89.49
5,3MINDIA,3M India Limited,Diversified,Diversified,Diversified,Diversified,Diversified,33846.95,38128.83,9532.206526,0.07,1.8,34.39,2816267.5,11265071.15,25.00
6,3PLAND,3P Land Holdings Limited,Investment Company,Financial Services,Financial Services,Finance,Investment Company,36.72,66.1,16.46431531,1.9,3.41,65.15,4483746,18001089.32,24.91
7,5PAISA,5Paisa Capital Limited,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,512.6,1600.34,537.2655491,0.11,2.4,45.85,10481185.12,31220054.62,33.57
8,63MOONS,63 moons technologies limited,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,370.35,1706.52,923.7931364,0.91,3.26,62.28,24943786.59,46078574.32,54.13
9,A2ZINFRA,A2Z Infra Engineering Limited,Civil Construction,Industrials,Construction,Construction,Civil Construction,16.18,284.96,204.6838801,3.46,2.92,55.79,126504252.2,176118665,71.83
10,AAATECH,Aaa Technologies Limited,Consulting Services,Services,Services,Commercial Services & Supplies,Consulting Services,118.9,152.51,43.44601446,1.13,3.32,63.43,3653996.17,12826745.16,28.49
11,AADHARHFC,Aadhar Housing Finance Limited,Housing Finance Company,Financial Services,Financial Services,Finance,Housing Finance Company,429.9,18474.46,3508.577668,0.1,1.77,33.82,81613809.45,429738543.8,18.99
12,AAKASH,Aakash Exploration Services Limited,Offshore Support Solution Drilling,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,10.91,110.46,1,1.47,3.29,62.86,916590.2841,101246562.8,0.91
13,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,63.64,177.9,77.47080663,1.18,3.09,59.03,12173288.28,27954116.91,43.55
14,AARON,Aaron Industries Limited,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,254.6,266.65,71.84554963,0.43,2.38,45.47,2821899.043,10473291.44,26.94
15,AARTECH,Aartech Solonics Limited,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,64.93,171.9,81.17247907,0.67,2.91,55.6,12501536.9,26474665.02,47.22
16,AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,510.5,4693.28,1774.177834,0.08,2.09,39.93,34753728.38,91934965.72,37.80
17,AARTIIND,Aarti Industries Limited,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,531.7,19275.15,10688.28188,0.03,2.33,44.51,201020911.8,362519277.8,55.45
18,AARTIPHARM,Aarti Pharmalabs Limited,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,590,5346.93,2843.061304,0.09,2.6,49.67,48187479.72,90625932.2,53.17
19,AARTISURF,Aarti Surfactants Limited,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,781,660.61,320.7696679,0.17,2.82,53.88,4107166.042,8458514.725,48.56
20,AARVEEDEN,Aarvee Denims & Exports Limited,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,1,112.84,1,1.43,,,10000000,1128400000,0.89
21,AARVI,Aarvi Encon Limited,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,132,195.15,51.63188406,0.4,3.12,59.61,3911506.368,14784090.91,26.46
22,AAVAS,Aavas Financiers Limited,Housing Finance Company,Financial Services,Financial Services,Finance,Housing Finance Company,1725,13651.92,9849.275087,0.05,1.96,37.45,57097246.88,79141565.22,72.15
23,ABAN,Aban Offshore Limited,Offshore Support Solution Drilling,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,71.38,416.61,219.5551863,0.73,3.26,62.28,30758641.95,58365088.26,52.70
24,ABB,ABB India Limited,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,7744,164101.85,40495.90474,0.03,2.2,42.03,52293265.42,211908380.7,24.68
25,ABBOTINDIA,Abbott India Limited,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,28086,38408.28,9418.670233,0.05,1.38,26.36,3353510.729,13675240.33,24.52
26,ABCAPITAL,Aditya Birla Capital Limited,Investment Company,Financial Services,Financial Services,Finance,Investment Company,225,58614.81,15970.30759,0.05,2.16,41.27,709791448.5,2605102667,27.25
27,ABDL,Allied Blenders and Distillers Limited,Breweries & Distilleries,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,311,8698.99,1163.306658,0.08,1.38,26.36,37405358.78,279710289.4,13.37
28,ABFRL,Aditya Birla Fashion and Retail Limited,Speciality Retail,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,324.55,34753.01,12953.83753,0.07,2.33,44.51,399132260.9,1070806039,37.27
29,ABMINTLLTD,ABM International Limited,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,55.1,51.84,12.43180835,5.01,3.44,65.72,2256226.56,9408348.457,23.98
30,ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Company,Financial Services,Financial Services,Capital Markets,Asset Management Company,677.5,19532.1,4881.813316,0.1,2.01,38.4,72056285.11,288296679,24.99
31,ACC,ACC Limited,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,2351,44148.79,15959.96256,0.05,2.02,38.59,67885846.72,187787282,36.15
32,ACCELYA,Accelya Solutions India Limited,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,1634,2438.95,606.8280933,0.12,2.43,46.43,3713758.221,14926254.59,24.88
33,ACCURACY,Accuracy Shipping Limited,Logistics Solution Provider,Services,Services,Transport Services,Logistics Solution Provider,10,150.56,54.67330448,2.97,3.16,60.37,54673304.48,150560000,36.31
34,ACE,Action Construction Equipment Limited,Construction Vehicles,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,1280,15242.65,5255.970259,0.06,3.07,58.65,41062267.64,119083203.1,34.48
35,ACEINTEG,Ace Integrated Solutions Limited,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,34.45,35.14,9.286007835,2.07,3.15,60.18,2695503,10200290.28,26.43
36,ACI,Archean Chemical Industries Limited,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,678,8349.66,3877.396572,0.07,2.27,43.37,57188740,123151327.4,46.44
37,ACL,Andhra Cements Limited,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,89,820.33,82.03238427,0.53,2.45,46.81,9217121.828,92171910.11,10.00
38,ACLGATI,Allcargo Gati Limited,Logistics Solution Provider,Services,Services,Transport Services,Logistics Solution Provider,104.4,1534.87,760.3477863,0.11,2.66,50.82,72830247.73,147018199.2,49.54
39,ADANIENSOL,Adani Energy Solutions Limited,Power Distribution,Utilities,Power,Power,Power Distribution,935,112319.93,34146.49334,0.04,3.33,63.62,365203137.3,1201282674,30.40
40,ADANIENT,Adani Enterprises Limited,Trading - Minerals,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,3011,343254.34,70760.85192,0.03,3.01,57.51,235007811.1,1140001129,20.61
41,ADANIGREEN,Adani Green Energy Limited,Power Generation,Utilities,Power,Power,Power Generation,1751,277364.09,63010.46381,0.04,3.15,60.18,359854162.2,1584032496,22.72
