SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HiPr,LOW_PRICE,CLOSE_PRICE,AvgPr,Vol,Val_CR,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CAMS, EQ,1/24/25,4159.25,4150,4284.6,4078.65,4101.1,4165.73,332673,138.5827,50004,111475,33.51
CAMS, EQ,1/23/25,4075.25,4075.25,4187.65,4030.1,4159.25,4115.92,525391,216.2467,65392,292966,55.76
CAMS, EQ,1/22/25,4248.05,4250,4257.05,3976,4075.25,4059.01,602893,244.7148,74032,251686,41.75
CAMS, EQ,1/21/25,4430.95,4499.4,4520,4230,4248.05,4315.48,392080,169.2014,51691,133813,34.13
CAMS, EQ,1/20/25,4418.1,4420,4460,4375.05,4430.95,4422.42,161291,71.3297,20578,54320,33.68
CAMS, EQ,1/17/25,4444.15,4470,4510,4313.85,4418.1,4379.89,253420,110.9952,31915,61075,24.1
CAMS, EQ,1/16/25,4305.4,4350,4529,4350,4444.15,4457.77,534221,238.1435,64482,251882,47.15
CAMS, EQ,1/15/25,4219.6,4278.2,4380,4242,4305.4,4310.21,427182,184.1244,47022,157930,36.97
CAMS, EQ,1/14/25,4281.85,4320,4395,4204,4219.6,4267.53,370586,158.1486,49556,190256,51.34
CAMS, EQ,1/13/25,4522.75,4464,4519.45,4242,4281.85,4347.29,452427,196.6833,54449,231056,51.07
CAMS, EQ,1/10/25,4662,4660.05,4695.65,4503.05,4522.75,4585.24,268747,123.2271,36437,102260,38.05
CAMS, EQ,1/9/25,4707.95,4707,4765,4651.2,4662,4696.89,233968,109.8921,36801,95552,40.84
CAMS, EQ,1/8/25,4878.8,4899.9,4929.25,4700,4707.95,4757.67,382806,182.1263,55645,140745,36.77
CAMS, EQ,1/7/25,4852.6,4868,4969,4840.4,4878.8,4897.61,244811,119.8989,39967,89152,36.42
CAMS, EQ,1/6/25,5096.05,5092.45,5126.95,4837.95,4852.6,4927.58,334884,165.0169,48240,151290,45.18
CAMS, EQ,1/3/25,5203.3,5198.05,5287.85,5085.25,5096.05,5196.96,398747,207.227,48841,168397,42.23
CAMS, EQ,1/2/25,5098.75,5137.95,5215,5072.3,5203.3,5137.92,475615,244.3671,52660,228567,48.06
CAMS, EQ,1/1/25,5075.4,5010.2,5149.65,4973.6,5098.75,5043.39,286808,144.6484,32317,110153,38.41
CAMS, EQ,12/31/24,5072.2,5066.95,5099.9,4863.6,5075.4,4994.56,391107,195.3409,55831,129263,33.05
CAMS, EQ,12/30/24,5041.75,5016.15,5111,4976,5072.2,5047.33,432216,218.1535,45260,250069,57.86
CAMS, EQ,12/27/24,4964,5008,5096,4971,5041.75,5029.96,271323,136.4744,34132,106924,39.41
CAMS, EQ,12/26/24,4928.7,4940,4997,4870,4964,4923.62,145046,71.4152,22124,55859,38.51
CAMS, EQ,12/24/24,4903,4890,4937.25,4847,4928.7,4903.57,153587,75.3124,28060,50789,33.07
CAMS, EQ,12/23/24,4951,4960,5017.45,4840,4903,4921.42,261277,128.5853,37526,101998,39.04
CAMS, EQ,12/20/24,5113.45,5144.9,5185.85,4934,4951,5051.33,303247,153.18,42711,137069,45.2
CAMS, EQ,12/19/24,5131.2,4972.45,5148.5,4951,5113.45,5074.03,363099,184.2374,45253,117578,32.38
CAMS, EQ,12/18/24,5135.65,5144,5167.45,5071,5131.2,5123.76,199759,102.3517,30322,84979,42.54
CAMS, EQ,12/17/24,5214.95,5190,5246.35,5110,5135.65,5159.79,317281,163.7104,44173,155719,49.08
CAMS, EQ,12/16/24,5186.85,5194.35,5228,5141,5214.95,5194.83,216485,112.4603,26316,87370,40.36
CAMS, EQ,12/13/24,5276.2,5276.2,5286,5133,5186.85,5195.1,369055,191.7276,44379,158026,42.82
CAMS, EQ,12/12/24,5222.05,5250,5367.5,5238.7,5276.2,5302.9,617394,327.3981,63063,157674,25.54
CAMS, EQ,12/11/24,5211.15,5209.1,5301,5201,5222.05,5241.16,365295,191.457,36942,162324,44.44
CAMS, EQ,12/10/24,5269.5,5284,5289,5164.35,5211.15,5211.76,338165,176.2435,44852,142615,42.17
CAMS, EQ,12/9/24,5069.6,5069.6,5315,5022.05,5269.5,5186.6,746803,387.3371,67403,293584,39.31
CAMS, EQ,12/6/24,5244.15,5256.35,5272.25,5057.3,5069.6,5101.24,668847,341.1946,78817,318856,47.67
CAMS, EQ,12/5/24,5181.75,5199,5360.5,5140.05,5244.15,5274.45,994656,524.6261,86458,349711,35.16
CAMS, EQ,12/4/24,5120.2,5115,5204.55,5104.1,5181.75,5156.28,397131,204.7719,39702,189773,47.79
CAMS, EQ,12/3/24,5102.3,5120,5144.9,5007,5120.2,5070.39,431127,218.5981,63138,190960,44.29
CAMS, EQ,12/2/24,4928.4,4975,5145,4970,5102.3,5092.45,914303,465.6038,71946,366593,40.1
CAMS, EQ,11/29/24,4893.35,4915.9,5098.8,4906,4928.4,5012.86,820307,411.2086,72937,237726,28.98
CAMS, EQ,11/28/24,4850.05,4870.95,5012.8,4852,4893.35,4922.44,499360,245.8072,61705,224370,44.93
CAMS, EQ,11/27/24,4751.6,4770,4998.75,4725.55,4850.05,4883.07,720132,351.6457,77992,193885,26.92
CAMS, EQ,11/26/24,4544.95,4569,4781.7,4568.95,4751.6,4700.84,411779,193.5708,48061,148903,36.16
