symbol,LastPrice,TTL_TMCAP,FF_MCAP,total_shares,ff_shares,ff_percent
ABB,8570.8,181556.74,44817.15873,211831731,52290519.83,24.68
ACC,2297.9,43149.76,15602.54358,187779102.7,67899140.88,36.16
AUBANK,692.6,51527.13,38751.00302,743966647.4,559500476.8,75.21
AARTIIND,536.8,19458.22,10785.77702,362485469.4,200927291.8,55.43
ABBOTINDIA,29127.3,39832.28,9767.871306,13675239.38,3353510.729,24.52
ADANIENT,3101,353514.35,72886.49757,1140001129,235041914.1,20.62
ADANIPORTS,1413.75,305389.64,104048.6153,2160138921,735976058.9,34.07
ABCAPITAL,223.5,58240.87,15849.26034,2605855481,709139165.3,27.21
ABFRL,346.55,37136.24,13846.15601,1071598326,399542807.9,37.28
ALKEM,6264.95,74956.49,32721.29241,119644195.1,52229135.76,43.65
AMBUJACEM,590.05,145472.07,35541.07031,2465419371,602339976.4,24.43
APOLLOHOSP,7084.15,101859.21,71706.64649,143784660.1,101221242.5,70.40
APOLLOTYRE,512,32501.29,17001.0862,634790820.3,332052464.8,52.31
ASHOKLEY,226.9,66621.66,32418.1075,2936168356,1428739863,48.66
ASIANPAINT,3085.8,295989.25,139430.129,959197776.9,451844348.4,47.11
ASTRAL,1900.85,51061.97,23436.4828,268627035.3,123294751.3,45.90
ATUL,7910,23288.43,12563.6699,29441757.27,15883274.21,53.95
AUROPHARMA,1479.25,85926.7,41304.93175,580880175.8,279228877.8,48.07
AXISBANK,1163.1,359755.17,331167.247,3093071705,2847280948,92.05
BSOFT,594.5,16427.47,9694.24965,276324137.9,163065595.5,59.01
BAJAJ-AUTO,11562,322877.65,128169.9872,279257611.1,110854512.4,39.70
BAJFINANCE,7100,439369.78,198369.5991,618830676.1,279393801.6,45.15
BAJAJFINSV,1869.25,298456.06,102000.3432,1596662084,545675234.6,34.18
BALKRISIND,3002.05,58027.05,24079.84863,193291417.5,80211351.02,41.50
BALRAMCHIN,663.5,13386.06,7594.706037,201749208.7,114464296,56.74
BANDHANBNK,195.06,31478.38,16152.9588,1613779350,828102060.9,51.31
BANKBARODA,244.86,126625.97,45541.73367,5171362003,1859909077,35.97
BATAINDIA,1424,18302.32,9074.427116,128527528.1,63724909.52,49.58
BERGEPAINT,583.45,68030.03,16572.99058,1165995887,284051599.6,24.36
BEL,288.2,210667.83,103009.8445,7309778973,3574248594,48.90
BHARATFORG,1489.35,69340.11,37869.78016,465572968.1,254270521.7,54.61
BHEL,268.75,93545.63,34468.43802,3480767628,1282546531,36.85
BPCL,347.9,150806.45,67276.53506,4334764300,1933789453,44.61
BHARTIARTL,1715.55,976689.12,459227.608,5693154499,2676853534,47.02
BIOCON,348.8,41900.94,15647.14019,1201288417,448599202.8,37.34
BOSCHLTD,38612.7,113882.91,33415.92421,29493640.69,8654127.841,29.34
BRITANNIA,6025,145123.15,70877.52079,240868298.8,117639038.7,48.84
CANFINHOME,886.35,11802.12,7471.054473,133154171.6,84290116.47,63.30
CANBK,104.55,94833.66,35150.56985,9070651363,3362082243,37.07
CHAMBLFERT,502.75,20142.79,7597.842088,400652212.8,151125650.7,37.72
CHOLAFIN,1499.6,126030.02,62538.08206,840424246.5,417031755.5,49.62
CIPLA,1585.35,128023.59,87059.80239,807541489.3,549151937.3,68.00
CUB,154.93,11475.23,11134.52358,740671916.3,718680925.4,97.03
COALINDIA,497.75,306626.55,112779.8666,6160252135,2265793402,36.78
COFORGE,7497.5,50003.66,49628.83547,66693777.93,66193845.24,99.25
COLPAL,3496.35,95099.78,46212.70018,271997311.5,132174124.9,48.59
CONCOR,877.65,53474.72,24116.14098,609294365.6,274780846.3,45.10
COROMANDEL,1628,47970.35,19033.28602,294658169.5,116912076.3,39.68
CROMPTON,426.1,27425.92,27360.34536,643649847.5,642110897.8,99.76
CUMMINSIND,3689.95,102285.41,49868.29914,277199989.2,135146273.4,48.75
DLF,860.05,212889.47,55033.62474,2475315040,639888666.2,25.85
DABUR,571.85,101349.63,33679.07668,1772311445,588949491.6,33.23
DALBHARAT,1872.9,35125.8,14945.41268,187547653.4,79798241.64,42.55
DEEPAKNTR,2913.1,39732.66,19989.70754,136393052.1,68620052.65,50.31
DIVISLAB,6242.85,165728.05,79117.16163,265468576.1,126732440.5,47.74
DIXON,15312,91621.79,57667.43415,59836592.22,37661594.92,62.94
LALPATHLAB,3393.75,28363.01,12451.75969,83574246.78,36690267.95,43.90
DRREDDY,6632.3,110677.8,80780.29512,166876950.7,121798313,72.99
EICHERMOT,4722.5,129425.17,64858.81707,274060709.4,137340004.4,50.11
ESCORTS,3937.4,44051.87,13200.70127,111880606.5,33526442,29.97
EXIDEIND,522.9,44429.5,23738.82784,849674890,453984085.6,53.43
GAIL,233.09,153259,62866.9324,6575099747,2697109803,41.02
GMRINFRA,89.12,93985.44,31887.08062,10545942549,3577993786,33.93
GLENMARK,1816.95,51287.7,27305.11807,282273590.4,150279964.1,53.24
GODREJCP,1344.1,137491.23,50431.0471,1022924113,375203088.3,36.68
GODREJPROP,3048.15,84757.5,35153.54868,278062103.2,115327489.4,41.48
GRANULES,599.65,14533.64,8659.748482,242368715.1,144413382.5,59.58
GRASIM,2722.15,179247.92,101209.1971,658479216.8,371798751.3,56.46
GUJGASLTD,590.4,40642.55,10164.94289,688390074.5,172170441.8,25.01
GNFC,643.95,9462.98,5366.020866,146952092.6,83329775.07,56.71
HCLTECH,1863.3,505406.56,196532.5191,2712427199,1054755107,38.89
HDFCAMC,4563.4,97459.24,46073.03603,213567164.8,100962081,47.27
HDFCBANK,1677.2,1279834.14,1271050.137,7630778321,7578405302,99.31
HDFCLIFE,742.7,159974.6,79203.48682,2153959876,1066426374,49.51
HAVELLS,1930,121045.53,48733.20415,627178911.9,252503648.4,40.26
HEROMOTOCO,5524.95,110589.01,71447.05405,200162915.5,129317105.2,64.61
HINDALCO,735.65,165316.48,106800.0158,2247216475,1451777555,64.60
HAL,4577,306094.97,86869.44521,668767686.3,189795598,28.38
HINDCOPPER,320.65,31022.13,10494.37571,967476376.1,327284444.4,33.83
HINDPETRO,423.75,90166.48,40611.01626,2127822537,958372065,45.04
HINDUNILVR,2785.6,654502.14,247690.3094,2349591255,889181179.7,37.84
ICICIBANK,1245.05,877399.59,875940.9123,7047103249,7035387433,99.83
ICICIGI,2124.9,104984.55,50462.65411,494068191.4,237482489.1,48.07
ICICIPRULI,754.2,109010.76,29303.71531,1445382657,388540378,26.88
IDFCFIRSTB,72.74,54451.84,48879.22735,7485817982,6719717810,89.77
IPCALAB,1690.25,42882.36,22884.95331,253704244.9,135393896.2,53.37
ITC,498.85,623879.02,463249.5816,12506344993,9286350237,74.25
INDIAMART,3043.8,18260.35,9249.104594,59991950.85,30386702.78,50.65
IEX,192.1,17129.42,14531.72961,891692868.3,756466924.1,84.83
IOC,167.55,236601.35,62664.32625,14121238436,3740037377,26.49
IRCTC,892,71360,26893.6656,800000000,301498493.3,37.69
IGL,521,36470.04,18252.49695,700000767.8,350335833.9,50.05
INDUSTOWER,385.55,101687.98,47812.23224,2637478407,1240104584,47.02
INDUSINDBK,1354.3,105475.66,89283.34154,778820497.7,659258225.9,84.65
NAUKRI,8275.65,107239.28,64420.18581,129584117.3,77843052.59,60.07
INFY,1960,813820.78,704788.8316,4152146837,3595861386,86.60
INDIGO,4752.45,183573.94,82038.26412,386272217.5,172623097.8,44.69
JKCEMENT,4286.7,33124.9,17873.24992,77273660.39,41694660.04,53.96
JSWSTEEL,1006.7,246183.85,96336.00342,2445453958,956948479.4,39.13
JINDALSTEL,980.95,100065.54,37050.88356,1020088078,377704098.6,37.03
JUBLFOOD,623.1,41101.76,23707.94853,659633445.7,380483847.4,57.68
KOTAKBANK,1893.95,376470.41,277734.9222,1987752633,1466432177,73.77
LTF,166.57,41520.79,13341.13993,2492693162,800932936.7,32.13
LTTS,5276.15,55839.35,14465.22679,105833515,27416253.88,25.91
LICHSGFIN,621.75,34189.17,18661.0691,549886127.9,300137822.3,54.58
LTIM,6511,192845.35,60096.35406,296183919.5,92299729.78,31.16
LT,3544.3,487339.44,416555.3194,1374994893,1175282339,85.48
LAURUSLABS,478.85,25817.64,18825.15423,539159235.7,393132593.3,72.92
LUPIN,2261.65,103165.93,54415.62649,456153383.6,240601448,52.75
MRF,131411.15,55733.35,26594.07883,4241143.16,2023730.774,47.72
MGL,1848.75,18240.8,10495.09221,98665584.85,56768585.29,57.54
M%26MFIN,285.3,35274.38,16813.03185,1236396074,589310615,47.66
M%26M,3094,384648.34,275376.764,1243207304,890034789.8,71.59
MANAPPURAM,181.72,15394.11,9867.398196,847133502.1,543000120.8,64.10
MARICO,688.1,89052.4,36105.07859,1294178172,524706853.5,40.54
MARUTI,12405.75,390039.97,163092.542,314402571.4,131465281.8,41.81
MFSL,1181,40768.41,29136.37287,345202455.5,246709338.5,71.47
METROPOLIS,2260,11580.61,5831.317639,51241637.17,25802290.44,50.35
MPHASIS,2983.85,56487.47,33593.36335,189310689.2,112583954.8,59.47
MCX,6526.35,33283.32,33242.59477,50998368.15,50935966.92,99.88
MUTHOOTFIN,1946.45,78142.94,20814.05038,401463895.8,106933393.5,26.64
NMDC,232.98,68277.26,26766.33445,2930606061,1148868334,39.20
NTPC,424.4,411526.51,201001.4496,9696666117,4736132178,48.84
NATIONALUM,221.59,40681.39,19824.68168,1835885645,894655971.7,48.73
NAVINFLUOR,3336.3,16539.01,11527.55598,49572910.11,34551916.72,69.70
NESTLEIND,2482,239303.81,88825.86168,964157171.6,357880184,37.12
OBEROIRLTY,1990,72356.85,23365.72157,363602261.3,117415686.3,32.29
ONGC,282.4,355267.08,109422.0926,12580279037,3874719993,30.80
OFSS,11816.7,102479.7,27769.81687,86724466.22,23500483.95,27.10
PIIND,4527,68633.48,36691.18988,151609189.3,81049679.44,53.46
PVRINOX,1628.55,16025.15,11569.97112,98401338.61,71044617.1,72.20
PAGEIND,46286.15,51673.44,28367.82227,11163909.72,6128792.798,54.90
PERSISTENT,5632.55,87796.54,59702.91184,155873520.9,105996239.4,68.00
PETRONET,356.2,53407.5,26631.54156,1499368332,747656978.2,49.86
PIDILITIND,3151.45,160287,48135.38444,508613495.4,152740435.2,30.03
PEL,1087.9,24529.72,12980.48417,225477709.3,119316887.3,52.92
POLYCAB,7487.3,112536.47,35233.37942,150303140,47057523.3,31.31
PFC,474.65,156639.33,68885.31721,3300101759,1451286574,43.98
POWERGRID,329.4,306361.89,149063.0323,9300603825,4525289385,48.66
PNB,104.74,120411.57,32334.55488,11496235440,3087125728,26.85
RBLBANK,205.55,12487.87,12198.51946,607534419.8,593457526.8,97.68
RECLTD,542.75,142786.57,67507.24737,2630798158,1243800044,47.28
RELIANCE,2712.5,1834960.77,918996.4059,6764832332,3388005183,50.08
SBICARD,731.3,69566.21,21843.58023,951267742.4,298695203.5,31.40
SBILIFE,1746.7,175056.15,78103.09078,1002210740,447146566.6,44.62
SHREECEM,24742.65,89273.33,33191.14105,36080747.21,13414545.76,37.18
SRF,2339.3,69342.66,33912.17271,296424827.9,144967181.3,48.91
MOTHERSON,210.34,148029.58,58670.12703,7037633356,2789299564,39.63
SHRIRAMFIN,3373.05,126785.46,94155.85329,375877796.1,279141587.8,74.26
SIEMENS,7801,277887.95,68820.24795,356220933.2,88219776.88,24.77
SBIN,803.9,717450.2,309146.158,8924619978,3845579774,43.09
SAIL,132.36,54671.63,19079.88762,4130525083,1441514628,34.90
SUNPHARMA,1900,455873.64,204821.749,2399334947,1078009205,44.93
SUNTV,781.75,30807.57,6619.281634,394084681.8,84672614.44,21.49
SYNGENE,886.4,35680.88,15951.85786,402537003.6,179962295.4,44.71
TATACONSUM,1110.5,109873.26,72064.40925,989403511.9,648936598.4,65.59
TVSMOTOR,2823.55,134143.22,66229.0266,475087106.7,234559425.6,49.37
TATACHEM,1107.25,28207.89,17267.81685,254756288.1,155952285.8,61.22
TATACOMM,1913.5,54534.75,22437.99844,285000000,117261554.4,41.14
TCS,4109.1,1486708.34,419497.3862,3618087513,1020898460,28.22
TATAMOTORS,921.85,339340.71,195485.6444,3681083799,2120579752,57.61
TATAPOWER,464.95,148679.15,78398.59496,3197744919,1686172598,52.73
TATASTEEL,156.65,195367.2,129520.5138,12471573572,8268146429,66.30
TECHM,1673.85,163795.28,106272.729,978554111.8,634899955,64.88
FEDERALBNK,195.72,48017.48,47804.72952,2453376252,2442506107,99.56
INDHOTEL,708.25,100814.59,62019.72217,1423432263,875675569,61.52
RAMCOCEM,869,20524.36,11002.75345,236183659.4,126613963.7,53.61
TITAN,3485.5,309428.99,143993.3709,887760694.3,413121132.9,46.54
TORNTPHARM,3491.2,118098.84,32163.22201,338275779.1,92126552.49,27.23
TRENT,8123.35,288629.16,180253.2737,355308044.1,221895244.8,62.45
UPL,570.35,42829.67,28750.16403,750936617.9,504079320.3,67.13
ULTRACEMCO,11351,327700.33,129422.0075,288697321.8,114018154.8,39.49
UBL,2083.85,55098.07,15666.7356,264405163.5,75181685.81,28.43
UNITDSPR,1534.05,111579.26,45179.98142,727350868.6,294514399.3,40.49
VEDL,494,193329.59,83611.75873,3913554453,1692545723,43.25
IDEA,9.08,63357.13,21417.14847,69776574890,23587167915,33.80
VOLTAS,1793.2,59342.52,40880.68665,330930849.9,227976169.2,68.89
WIPRO,539.45,282210.81,76258.49794,5231454444,1413634219,27.02
ZYDUSLIFE,1060.25,106685.96,26462.91865,1006234001,249591310,24.80
