Stock, Issued Shares, Total Market Cap In Lacs, FreeFloatMarketCap in lacs,LTP -Sep11-23,SharesForTrading,PercentForTrading
AARTIIND,362504035,1871608.33,1029384.58,516.30,199377219,55.00
ABB,211908375,9790166.93,2447541.73,4620.00,52977093.7,25.00
ABBOTINDIA,13675240,3149277.86,787319.46,23029.05,3418809.978,25.00
ABCAPITAL,2598603153,4941243.90,1334135.85,190.15,701622849.7,27.00
ABFRL,948967213,2216787.41,775875.59,233.60,332138523.1,35.00
ACC,187787263,3855272.51,1657767.18,2053.00,80748523.12,43.00
ADANIENT,1140001121,29776829.28,8039743.91,2612.00,307800302.8,27.00
ADANIPORTS,2160138945,19085907.65,7443503.98,883.55,842454188.2,39.00
ALKEM,119565000,4352166.00,1784388.06,3640.00,49021650,41.00
AMARAJABAT,170812500,1126508.44,653374.89,659.50,99071249.21,58.00
AMBUJACEM,1985645229,8936396.35,3306466.65,450.05,734688734.8,37.00
APOLLOHOSP,143784657,7324965.57,5127475.90,5094.40,100649259.9,70.00
APOLLOTYRE,635100946,2438152.53,1267839.32,383.90,330252493.1,52.00
ASHOKLEY,2936127276,5418622.89,2658002.62,184.55,1440261511,49.05
ASIANPAINT,959197790,31327879.42,14726808.27,3266.05,450905781.3,47.01
ASTRAL,268619291,5165548.97,2272841.55,1923.00,118192488.2,44.00
ATUL,29513755,2232715.57,1205666.41,7565.00,15937427.73,54.00
AUBANK,668000028,4919820.21,3542270.55,736.50,480960020,72.00
AUROPHARMA,585938609,5088583.85,2442520.25,868.45,281250532.6,48.00
AXISBANK,3080901302,30901440.06,27502281.65,1003.00,2742002158,89.00
BAJAJ-AUTO,282957358,13610248.92,5444099.57,4810.00,113182943.2,40.00
BAJAJFINSV,1595488813,24730076.60,8408226.04,1550.00,542466196.2,34.00
BAJFINANCE,605918538,44777379.96,19702047.18,7390.00,266604156.7,44.00
BALKRISIND,193317190,4698767.62,1926494.72,2430.60,79260047.73,41.00
BALRAMCHIN,201749245,847346.83,482987.69,420.00,114997068.9,57.00
BANDHANBNK,1610864617,3914401.02,1800624.47,243.00,740997724.1,46.00
BANKBARODA,5171362179,10492693.86,3777369.79,202.90,1861690385,36.00
BATAINDIA,128527540,2173593.49,1088114.15,1691.15,64341669.95,50.06
BEL,7309778829,10569940.19,5179270.69,144.60,3581791624,49.00
BERGEPAINT,971422485,7013670.34,1683280.88,722.00,233141396.2,24.00
BHARATFORG,465588632,5186657.36,2852661.55,1114.00,256073747.8,55.00
BHARTIARTL,5592648369,49606791.03,22323055.96,887.00,2516691766,45.00
BHEL,3482063355,4874888.70,1803708.82,140.00,1288363442,37.00
BIOCON,1200600000,3310654.50,1226496.94,275.75,444785835,37.05
BOSCHLTD,29493640,5674266.65,1646850.24,19238.95,8559979.837,29.02
BPCL,2169252744,7878725.97,3466639.43,363.20,954471208.2,44.00
BRITANNIA,240868296,11005272.44,5392583.50,4569.00,118025465.1,49.00
BSOFT,275381945,1401694.10,826999.52,509.00,162475347.7,59.00
CANBK,1814130252,6530868.91,2416421.50,360.00,671228194.2,37.00
CANFINHOME,133154125,1009308.27,639723.02,758.00,84396176.57,63.38
CHAMBLFERT,416207852,1180781.68,448697.04,283.70,158158984.3,38.00
CHOLAFIN,822405157,9704380.85,4658102.81,1180.00,394754475.5,48.00
CIPLA,807310290,10074425.11,6548376.32,1247.90,524751688.4,65.00
COALINDIA,6162728327,17184767.94,6358364.14,278.85,2280209482,37.00
COFORGE,61121503,3370545.28,2325676.25,5514.50,42173837.19,69.00
COLPAL,271985634,5416049.93,2656130.11,1991.30,133386737.8,49.04
CONCOR,609294348,4472220.51,2012499.23,734.00,274182456.7,45.00
COROMANDEL,294360519,3308612.23,1323444.89,1124.00,117744207.4,40.00
CROMPTON,640097744,2011827.21,2010226.97,314.30,639588599.9,99.92
CUB,740416385,1002893.99,972807.17,135.45,718203893.2,97.00
CUMMINSIND,277200000,4775047.20,2349892.31,1722.60,136415436.5,49.21
