,StockName,scID,sector
0,Newgen Software,NST01,Software & IT Services
1,Elecon Eng,EEC,Capital Goods
2,Devyani Int,DI23,FMCG
3,Alok Industries,ATI,Textiles
4,Anant Raj,ARI,Real Estate
5,Thermax,T,Capital Goods
6,UTI AMC,UA03,Finance
7,ASK Auto,AAL02,Automobile & Ancillaries
8,BSE Limited,B03,Finance
9,Vodafone Idea,IC8,Telecom
10,KFin Tech,KT06,Finance
11,Kaynes Tech,KTI05,Electricals
12,360 ONE WAM,IIFLW54277,Finance
13,Gokaldas Export,GE05,Textiles
14,Phoenix Mills,PM02,Real Estate
15,Inox Wind,IW,Capital Goods
16,Angel One,ABL03,Finance
17,Engineers India,EI14,Capital Goods
18,One 97 Paytm,OC10,Software & IT Services
19,Aarti Ind,AI,Chemicals
20,Wonderla,WH03,Hospitality
21,Indo Count,ICI07,Textiles
22,CSB Bank,CB08,Banks
23,Minda Corp,MC22,Automobile & Ancillaries
24,FSN E-Co Nykaa,FEV,Software & IT Services
25,L&T Finance,LFH,Finance
26,HDFC AMC,HAM02,Finance
27,MCX India,MCE,Finance
28,Raymond,R,Real Estate
29,Glenmark Life,GLS01,Healthcare
30,Choice Internat,CFS01,Finance
31,Zomato,Z01,Software & IT Services
32,Apeejay Park,ASPHL,Hospitality
33,Va Tech Wabag,VTW,Infrastructure
34,Welspun Corp,WGS,Metals & Mining
35,Ganesh Housing,GHF,Real Estate
36,Dixon Technolog,DT07,Consumer Durables
37,Fineotex Chem,FC06,Chemicals
38,Persistent,PS15,Software & IT Services
39,Paradeep Phosp,PP36,Chemicals
40,Nippon,RNL,Finance
41,Indian Hotels,IHC,Hospitality
42,Trent,L,Retailing
43,Nazara,NT03,Software & IT Services
44,Avanti Feeds,AF21,Agri
45,Solar Ind,SE20,Chemicals
46,NTPC,NTP,Power
47,Zensar Tech,FIC,Software & IT Services
48,ICICI Lombard ,ILG,Insurance
49,Epigral,MF24,Chemicals
50,INDUS TOWERS,BI26,Telecom
51,Venkys,WH01,Agri
52,AFL,ARVIN54248,Retailing
53,Dhanuka Agritec,DP04,Chemicals
54,APL Apollo,BT09,Metals & Mining
55,ABSL AMC,ABS,Finance
56,Torrent Power,TP13,Power
57,L&T Technology,LTS,Capital Goods
58,LT Foods,LTO,FMCG
59,Paisalo Digital,SEI03,Finance
60,Vardhman Text,MSM,Textiles
61,Equitas Bank,ESF,Banks
62,GMR Airports,GI27,Infrastructure
63,Medplus Health,MHS01,Retailing
64,Power Grid Corp,PGC,Power
65,EID Parry,EID,Agri
66,Adani Green Ene,ADANI54145,Miscellaneous
67,Indegene,IL06,Healthcare
68,Arvind,AM,Textiles
69,Welspun Living,WI03,Textiles
70,DCX Systems,DS11,Electricals
71,Firstsource Sol,FS07,Software & IT Services
72,Sterling Wilson,SWS,Power
73,NAVA,NBF01,Power
74,Avenue Supermar,AS28,Retailing
75,MOTHERSON,MSS01,Automobile & Ancillaries
76,Muthoot Finance,MF19,Finance
77,Jindal Saw,SP09,Metals & Mining
78,BHEL,BHE,Capital Goods
79,Blue Star,BS,Consumer Durables
80,NBCC (India),NBC,Real Estate
81,Radico Khaitan,RK01,Alcohol
82,Vedant Fashions,VF10,Retailing
83,Adani Wilmar,AW01,FMCG
84,Godrej Agrovet,GA08,FMCG
85,JSW Energy,JE02,Power
86,Steel Str Wheel,SSW01,Automobile & Ancillaries
87,Redington,RI37,Trading
88,Power Finance,PFC02,Finance
89,Tata Power,TPC,Power
90,Endurance Techn,ET04,Automobile & Ancillaries
91,Landmark Cars,LC08,Trading
92,Adani Power,AP26,Power
93,Bikaji Foods,BFI01,FMCG
94,Ajanta Pharma,AP22,Healthcare
95,Graphite India,GI13,Capital Goods
96,Sunteck Realty,IE06,Real Estate
97,Electronics Mar,EMI01,Consumer Durables
98,Navin Fluorine,PRC,Chemicals
99,Kotak Mahindra,KMF,Banks
100,Shree Renuka,SRS03,Agri
101,Gujarat Fluoro,GUJAR54281,Chemicals
102,Chambal Fert,CFC,Chemicals
103,Bajaj Holdings,BA,Finance
104,CG Consumer,CGC01,Consumer Durables
105,Star Cement,SFC02,Construction Materials
106,Triveni Turbine,TT12,Capital Goods
107,Mahindra Life,GC16,Real Estate
108,Quess Corp,QC,Miscellaneous
109,Brigade Ent,BE08,Real Estate
110,CarTrade Tech,CT09,Automobile & Ancillaries
111,Praj Industries,PI17,Capital Goods
112,Sanghi Ind,SI04,Construction Materials
113,AU Small Financ,ASF03,Banks
114,eMudhra,E11,Software & IT Services
115,KRBL,KRB,Agri
116,CAMS,CAM,Finance
117,Juniper Hotels,JHL,Hospitality
118,KPR Mill,M09,Textiles
119,Amber Enterpris,AEI01,Consumer Durables
120,Asahi India,AIS,Construction Materials
121,CDSL,CDS,Finance
122,Union Bank,UBI01,Banks
123,Restaurant Bran,BKI01,FMCG
124,RBL Bank,RB02,Banks
125,PTC India,PTC01,Power
126,South Ind Bk,SIB,Banks
127,AIA Engineering,AIE01,Capital Goods
128,PNB Housing Fin,PHF,Finance
129,Bajaj Hindustha,BH,Agri
130,Interglobe Avi,IA05,Aviation
131,Sudarshan Chem,SCI05,Chemicals
132,Maruti Suzuki,MU01,Automobile & Ancillaries
133,DCB Bank,DCB01,Banks
134,Eris Life,EL01,Healthcare
135,NESCO,NSE,Capital Goods
136,Tech Mahindra,TM4,Software & IT Services
137,Mahanagar Gas,MG02,Industrial Gases & Fuels
138,Sapphire Foods,SFI05,Hospitality
139,Borosil,BL05,Construction Materials
140,BALMLAWRIE,BLC,Diversified
141,JK Lakshmi Cem,JKC,Construction Materials
142,BASF,BAS,Chemicals
143,Marksans Pharma,TP01,Healthcare
144,Bank of India,BOI,Banks
145,DLF,D04,Real Estate
146,Happiest Minds ,HMT01,Software & IT Services
147,Oberoi Realty,OR,Real Estate
148,Zydus Wellness,CNA,FMCG
149,India Shelter,ISFCL,Finance
150,Canara Bank,CB06,Banks
151,J. K. Cement,JKC03,Construction Materials
152,Cera Sanitary,MOF,Construction Materials
153,Samhi Hotels,SH17,Hospitality
154,Aether Ind,AI74,Chemicals
155,Kolte-Patil,KD07,Real Estate
156,TVS Supply,TSC03,Logistics
157,G R Infra,I13,Infrastructure
158,Cigniti Tech,CI39,Software & IT Services
159,Procter&Gamble,EMI,Healthcare
160,LTIMindtree,LI09,Software & IT Services
161,Sheela Foam,SF30,FMCG
162,Trident,AI01,Textiles
163,IRFC,IRF,Finance
164,Coal India,CI29,Metals & Mining
165,Latent View,LVA,Software & IT Services
166,Vinati Organics,VO01,Chemicals
167,Gopal Snacks,GSL10,FMCG
168,HINDWAREAP,SHIL54290,Consumer Durables
169,Guj State Petro,GSP02,Diversified
170,Gabriel India,GI02,Automobile & Ancillaries
171,Kirloskar Pneum,KGK,Capital Goods
172,Symphony,SCS04,Consumer Durables
173,Indian Metals,IMF01,Metals & Mining
174,Hind Zinc,HZ,Metals & Mining
175,Ion Exchange,IEI,Capital Goods
176,KPIT Tech,KPITT54265,Software & IT Services
177,Muthoot Micro,MML07,Finance
178,MTAR Tech,MT14,Aviation
179,Finolex Ind,FI,Plastic Products
180,Swan Energy,SM09,Textiles
181,Kajaria Ceramic,KC06,Construction Materials
182,LIC India,LIC09,Insurance
183,ZFCVINDIA,WAB,Automobile & Ancillaries
184,Sundram,SF,Trading
185,Stylam Ind,GL02,Construction Materials
186,Emami,E05,FMCG
187,Mishra Dhatu,MDN,Metals & Mining
188,Safari Ind,SII01,FMCG
189,RamkrishnaForge,RF16,Automobile & Ancillaries
190,HOEC,HOE01,Oil & Gas
191,ACC,ACC,Construction Materials
192,CenturyPlyboard,CP9,Construction Materials
193,KEI Industries,KEI,Electricals
194,Escorts Kubota,E,Automobile & Ancillaries
