,Stock,Sector,Industry,Basic,IssuedSize,Mcap(cr),FFmcap(cr),Lastpr,ff_shares,ff_per
0,GICRE,Financial Services,Insurance,General Insurance,1754400000,91176.17,16025.76152,519.7,308365624.8,17.58
1,AEGISLOG,Oil Gas & Consumable Fuels,Gas,Trading - Gas,351000000,29308.5,10468.6445,835,125372988,35.72
2,TECHNOE,Construction,Construction,Civil Construction,116299574,19014.98,8175.623906,1635,50003815.94,43.00
3,ZENTEC,Capital Goods,Aerospace & Defense,Aerospace & Defense,90290356,23135.1,11131.70685,2562.3,43444197.98,48.12
4,MTARTECH,Capital Goods,Aerospace & Defense,Aerospace & Defense,30759591,5290.65,3363.911443,1720,19557624.67,63.58
5,NETWORK18,Media Entertainment & Publication,Entertainment,Media & Entertainment,1542000018,11426.22,4833.759591,74.1,652329229.6,42.30
6,BASF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,43285640,24731.9,6499.172262,5713.65,11374816.91,26.28
7,IXIGO,Consumer Services,Leisure Services,Tour Travel Related Services,388265878,6410.27,1110.220241,165.1,67245320.47,17.32
8,CARTRADE,Consumer Services,Retailing,E-Retail/ E-Commerce,47301335,7563.48,5722.395448,1599,35787338.64,75.66
9,NIACL,Financial Services,Insurance,General Insurance,1648000000,35135.36,5116.797612,213.2,239999888,14.56
10,RAYMOND,Realty,Realty,Residential Commercial Projects,66573731,11716.98,5862.261194,1760,33308302.24,50.03
11,NEWGEN,Information Technology,IT - Software,Computers - Software & Consulting,140291802,22081.93,9800.004536,1574,62261782.31,44.38
12,MAHABANK,Financial Services,Banks,Public Sector Bank,7691554950,42188.18,8605.544732,54.85,1568923379,20.40
13,RELIGARE,Financial Services,Finance,Investment Company,330295163,10239.15,10139.74838,310,327088657.6,99.03
14,BDL,Capital Goods,Aerospace & Defense,Aerospace & Defense,366562500,46390.32,11631.72257,1265.55,91910415,25.07
15,MAHLIFE,Realty,Realty,Residential Commercial Projects,155086018,7458.86,3615.310429,480.95,75170192.92,48.47
16,ARVINDFASN,Consumer Services,Retailing,Speciality Retail,133259113,7009.43,3905.703096,526,74252910.58,55.72
17,PAISALO,Financial Services,Finance,Non Banking Financial Company (NBFC),898043980,5235.6,3339.818359,58.3,572867643.1,63.79
18,DATAPATTNS,Capital Goods,Aerospace & Defense,Aerospace & Defense,55983969,14278.99,7524.871301,2550.55,29502935.84,52.70
19,KANSAINER,Consumer Durables,Consumer Durables,Paints,808405992,21281.29,5293.954419,263.25,201099883,24.88
20,SUMICHEM,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,499145736,26454.72,6499.158502,530,122625632.1,24.57
21,BIKAJI,Fast Moving Consumer Goods,Food Products,Packaged Foods,250382180,19404.62,4827.733362,775,62293333.71,24.88
22,GODIGIT,Financial Services,Insurance,General Insurance,921639757,31151.42,6085.866757,338,180055229.5,19.54
23,RAJESHEXPO,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,295259959,6968.14,3166.9895,236,134194470.3,45.45
24,CYIENTDLM,Capital Goods,Industrial Manufacturing,Industrial Products,79306124,5381.71,1793.92964,678.6,26435744.76,33.33
25,GVT%26D,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,256046535,54998.8,13377.57708,2148,62279222.89,24.32
26,BIRLACORPN,Construction Materials,Cement & Cement Products,Cement & Cement Products,77005347,9706.52,3569.088871,1260.5,28314866.09,36.77
27,SPLPETRO,Chemicals,Chemicals & Petrochemicals,Petrochemicals,188041342,13444.96,4517.518645,715,63182078.95,33.60
28,AKUMS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,157393988,8971.46,864.2473976,570,15162235.05,9.63
29,IFBIND,Consumer Durables,Consumer Durables,Household Appliances,40518796,7293.38,1818.269625,1800,10101497.92,24.93
30,SANOFI,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,23030622,14302.02,5637.56877,6210,9078210.58,39.42
31,AMIORG,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,40934461,8719.04,5046.850754,2130,23694135,57.88
32,DRREDDY,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,834410880,112253.3,81924.02674,1345.3,608964742,72.98
33,KEC,Construction,Construction,Civil Construction,266200000,32476.4,15203.53437,1220,124619134.2,46.81
34,HSCL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,493681224,27103.1,13065.78075,549,237992363.4,48.21
35,TIPSMUSIC,Media Entertainment & Publication,Entertainment,Media & Entertainment,127831590,10507.76,3747.591426,822,45591136.57,35.67
36,TITAGARH,Capital Goods,Industrial Manufacturing,Railway Wagons,134673768,17386.38,10317.93187,1291,79922012.95,59.34
37,SSWL,Automobile and Auto Components,Auto Components,Auto Components & Equipments,156929325,3169.97,794.4521342,202,39329313.57,25.06
38,FIVESTAR,Financial Services,Finance,Non Banking Financial Company (NBFC),293427245,22212.44,9400.483343,757,124180757.5,42.32
39,JTEKTINDIA,Automobile and Auto Components,Auto Components,Auto Components & Equipments,254280483,4170.2,970.8350523,164,59197259.28,23.28
