sn,symbol,companyName,industry,macro,sector,industryinfo,basicIndustry,totalMarketCap,ffmcap,impactCost,DailyVolatility,YearlyVol,ff_shares,total_shares,ff_per
1,20MICRONS,20 Microns Limited,Industrial Minerals,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,928.56,510.7540076,0.17,3.39,64.77,19409235,35286338.59,55.00
3,360ONE,360 ONE WAM LIMITED,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,35188.74,13377.81041,0.06,2.34,44.71,138651712,364706845.6,38.02
4,3IINFOLTD,3i Infotech Limited,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,502.11,449.3475352,0.13,2.99,57.12,151601733,169402834,89.49
5,3MINDIA,3M India Limited,Diversified,Diversified,Diversified,Diversified,Diversified,38128.83,9532.206526,0.07,1.8,34.39,2816268,11265071.15,25.00
7,5PAISA,5Paisa Capital Limited,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,1600.34,537.2655491,0.11,2.4,45.85,10481185,31220054.62,33.57
8,63MOONS,63 moons technologies limited,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,1706.52,923.7931364,0.91,3.26,62.28,24943787,46078574.32,54.13
10,AAATECH,Aaa Technologies Limited,Consulting Services,Services,Services,Commercial Services & Supplies,Consulting Services,152.51,43.44601446,1.13,3.32,63.43,3653996,12826745.16,28.49
11,AADHARHFC,Aadhar Housing Finance Limited,Housing Finance Company,Financial Services,Financial Services,Finance,Housing Finance Company,18474.46,3508.577668,0.1,1.77,33.82,81613809,429738543.8,18.99
14,AARON,Aaron Industries Limited,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,266.65,71.84554963,0.43,2.38,45.47,2821899,10473291.44,26.94
15,AARTECH,Aartech Solonics Limited,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,171.9,81.17247907,0.67,2.91,55.6,12501537,26474665.02,47.22
16,AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,4693.28,1774.177834,0.08,2.09,39.93,34753728,91934965.72,37.80
17,AARTIIND,Aarti Industries Limited,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,19275.15,10688.28188,0.03,2.33,44.51,201020912,362519277.8,55.45
18,AARTIPHARM,Aarti Pharmalabs Limited,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,5346.93,2843.061304,0.09,2.6,49.67,48187480,90625932.2,53.17
19,AARTISURF,Aarti Surfactants Limited,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,660.61,320.7696679,0.17,2.82,53.88,4107166,8458514.725,48.56
21,AARVI,Aarvi Encon Limited,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,195.15,51.63188406,0.4,3.12,59.61,3911506,14784090.91,26.46
22,AAVAS,Aavas Financiers Limited,Housing Finance Company,Financial Services,Financial Services,Finance,Housing Finance Company,13651.92,9849.275087,0.05,1.96,37.45,57097247,79141565.22,72.15
23,ABAN,Aban Offshore Limited,Offshore Support Solution Drilling,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,416.61,219.5551863,0.73,3.26,62.28,30758642,58365088.26,52.70
24,ABB,ABB India Limited,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,164101.85,40495.90474,0.03,2.2,42.03,52293265,211908380.7,24.68
25,ABBOTINDIA,Abbott India Limited,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,38408.28,9418.670233,0.05,1.38,26.36,3353511,13675240.33,24.52
26,ABCAPITAL,Aditya Birla Capital Limited,Investment Company,Financial Services,Financial Services,Finance,Investment Company,58614.81,15970.30759,0.05,2.16,41.27,709791449,2605102667,27.25
27,ABDL,Allied Blenders and Distillers Limited,Breweries & Distilleries,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,8698.99,1163.306658,0.08,1.38,26.36,37405359,279710289.4,13.37
28,ABFRL,Aditya Birla Fashion and Retail Limited,Speciality Retail,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,34753.01,12953.83753,0.07,2.33,44.51,399132261,1070806039,37.27
30,ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Company,Financial Services,Financial Services,Capital Markets,Asset Management Company,19532.1,4881.813316,0.1,2.01,38.4,72056285,288296679,24.99
31,ACC,ACC Limited,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,44148.79,15959.96256,0.05,2.02,38.59,67885847,187787282,36.15
32,ACCELYA,Accelya Solutions India Limited,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,2438.95,606.8280933,0.12,2.43,46.43,3713758,14926254.59,24.88
34,ACE,Action Construction Equipment Limited,Construction Vehicles,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,15242.65,5255.970259,0.06,3.07,58.65,41062268,119083203.1,34.48
35,ACEINTEG,Ace Integrated Solutions Limited,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,35.14,9.286007835,2.07,3.15,60.18,2695503,10200290.28,26.43
