NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
20 Microns Limited,35286502,15860521,44.95,19425981,0,0,0,,10/7/24 11:30,2591759,35278228,7.35,,10/7/24 11:30
21st Century Management Services Limited,10500000,6751336,64.3,3748664,0,0,0,,10/7/24 11:30,91950,10192572,0.9,,10/7/24 11:30
360 ONE WAM LIMITED,362866808,57304358,15.79,305562450,23183627,40.46,6.39,,10/7/24 11:30,7952938,364568728,2.18,,10/7/24 11:30
3M India Limited,11265070,8448802,75,2816268,0,0,0,,10/7/24 11:30,148954,11226469,1.33,,10/7/24 11:30
3P Land Holdings Limited,18000000,13194158,73.3,4805842,0,0,0,,10/7/24 11:30,35201,17682425,0.2,,10/7/24 11:30
63 moons technologies limited,46078537,21025878,45.63,25052659,0,0,0,,10/7/24 11:30,1250779,46031625,2.72,,10/7/24 11:30
A2Z Infra Engineering Limited,176119858,49560983,28.14,126558875,49402301,99.68,28.05,,10/7/24 11:30,54917609,176115041,31.18,,10/7/24 11:30
ABB India Limited,211908375,158931281,75,52977094,0,0,0,,10/7/24 11:30,951348,210989495,0.45,,10/7/24 11:30
ACC Limited,187787263,106456927,56.69,81330336,0,0,0,,10/7/24 11:30,1503213,185634271,0.81,,10/7/24 11:30
ADF Foods Limited,109863595,39908565,36.33,69955030,3076190,7.71,2.8,,10/7/24 11:30,9331291,108004590,8.64,,10/7/24 11:30
AGS Transact Technologies Limited,121403076,79923194,65.83,41479882,7155000,8.95,5.89,,10/7/24 11:30,12985322,121402895,10.7,,10/7/24 11:30
AIA Engineering Limited,94320370,55148921,58.47,39171449,0,0,0,,10/7/24 11:30,154832,93320355,0.17,,10/7/24 11:30
AION-TECH SOLUTIONS LIMITED,34582066,18634698,53.89,15947368,0,0,0,,10/7/24 11:30,1355254,34440437,3.94,,10/7/24 11:30
AJR INFRA AND TOLLING LIMITED,941830724,100999800,10.72,840830924,0,0,0,,10/7/24 11:30,120991965,941827508,12.85,,10/7/24 11:30
AMD Industries Limited,19166749,12782466,66.69,6384283,0,0,0,,10/7/24 11:30,162679,19166663,0.85,,10/7/24 11:30
ANDHRA PAPER LIMITED,39770039,28758400,72.31,11011639,0,0,0,,10/7/24 11:30,3151454,16583935,19,,10/7/24 11:30
APL Apollo Tubes Limited,277524564,78598479,28.32,198926085,0,0,0,,10/7/24 11:30,13109678,277520647,4.72,,10/7/24 11:30
ARSS Infrastructure Projects Limited,22737966,10619468,46.7,12118498,2646648,24.92,11.64,,10/7/24 11:30,3604617,22725240,15.86,,10/7/24 11:30
ATLANTAA LIMITED,81500000,59767089,73.33,21732911,0,0,0,,10/7/24 11:30,3960756,81499985,4.86,,10/7/24 11:30
ATN International Limited,39450000,65444,0.17,39384556,0,0,0,,10/7/24 11:30,478728,36541445,1.31,,10/7/24 11:30
AU Small Finance Bank Limited,743159155,170298412,22.92,572860743,0,0,0,,10/7/24 11:30,12881426,743420824,1.73,,10/7/24 11:30
AVT Natural Products Limited,152284000,114212975,75,38071025,0,0,0,,10/7/24 11:30,1977324,148522522,1.33,,10/7/24 11:30
AXISCADES Technologies Limited,41948204,25282047,60.27,16666157,5204000,20.58,12.41,,10/7/24 11:30,7869332,42211612,18.64,,10/7/24 11:30
Aarti Drugs Limited,91935000,51181853,55.67,40753147,0,0,0,,10/7/24 11:30,2623869,90634627,2.89,,10/7/24 11:30
Aarti Industries Limited,362504035,156738924,43.24,205765111,5947500,3.79,1.64,,10/7/24 11:30,24801324,361165243,6.87,,10/7/24 11:30
Aarvee Denims & Exports Limited,23459800,15436303,65.8,8023497,7872515,51,33.56,,10/7/24 11:30,8445192,23194397,36.41,,10/7/24 11:30
Aban Offshore Limited,58365323,26846160,46,31519163,5200000,19.37,8.91,,10/7/24 11:30,6936444,58172241,11.92,,10/7/24 11:30
Abans Holdings Limited,50145950,36149995,72.09,13995955,5132000,14.2,10.23,,10/7/24 11:30,7361131,48999872,15.02,,10/7/24 11:30
Abhishek Corporation Limited,16008462,9225495,57.63,6782967,8164316,88.5,51,,10/7/24 11:30,8195463,16007896,51.2,,10/7/24 11:30
Accelya Solutions India Limited,14926261,11143295,74.66,3782966,0,0,0,,10/7/24 11:30,1121316,14867088,7.54,,10/7/24 11:30
Accuracy Shipping Limited,150560000,95886640,63.69,54673360,0,0,0,,10/7/24 11:30,2972161,150560000,1.97,,10/7/24 11:30
Action Construction Equipment Limited,119083196,77964930,65.47,41118266,0,0,0,,10/7/24 11:30,3434405,119074518,2.88,,10/7/24 11:30
Adani Energy Solutions Limited,1115492683,835972987,74.94,279519696,19092821,2.28,1.71,,10/7/24 11:30,16276693,1201101213,1.36,,10/7/24 11:30
Adani Enterprises Limited,1140001121,851770953,74.72,288230168,0,0,0,,10/7/24 11:30,13949971,1139858598,1.22,,10/7/24 11:30
Adani Green Energy Limited,1584032478,965252959,60.94,618779519,0,0,0,,10/7/24 11:30,6197910,1583918863,0.39,,10/7/24 11:30
Adani Ports and Special Economic Zone Limited,2160138945,1423376085,65.89,736762860,22104000,1.55,1.02,,10/7/24 11:30,19740996,2159905852,0.91,,10/7/24 11:30
Adani Power Limited,3856938941,2804192967,72.71,1052745974,12500000,0.45,0.32,,10/7/24 11:30,65745486,3856583776,1.7,,10/7/24 11:30
Aditya Birla Capital Limited,2600021884,1793054883,68.96,806967001,0,0,0,,10/7/24 11:30,38116043,2584081142,1.48,,10/7/24 11:30
Aditya Birla Fashion and Retail Limited,1015019716,532119957,52.42,482899759,0,0,0,,10/7/24 11:30,35939517,1065495435,3.37,,10/7/24 11:30
Aditya Birla Money Limited,56509201,41550000,73.53,14959201,0,0,0,,10/7/24 11:30,1125189,55632070,2.02,,10/7/24 11:30
Ador Welding Limited,13598467,7742944,56.94,5855523,0,0,0,,10/7/24 11:30,269810,13237962,2.04,,10/7/24 11:30
Advanced Enzyme Technologies Limited,111824075,48102485,43.02,63721590,0,0,0,,10/7/24 11:30,2481668,111595075,2.22,,10/7/24 11:30
Advani Hotels & Resorts (India) Limited,92438500,46452004,50.25,45986496,0,0,0,,10/7/24 11:30,725847,91853940,0.79,,10/7/24 11:30
Aegis Logistics Limited,351000000,203924675,58.1,147075325,0,0,0,,10/7/24 11:30,4753719,348065998,1.37,,10/7/24 11:30
Agarwal Industrial Corporation Limited,14957789,8555434,57.2,6402355,0,0,0,,10/7/24 11:30,645967,14953489,4.32,,10/7/24 11:30
Agri-Tech (India) Limited,5940000,1847428,31.1,4092572,0,0,0,,10/7/24 11:30,94687,5680437,1.67,,10/7/24 11:30
