symbol,LastPrice,TTL_TMCAP,FF_MCAP,total_shares,ff_shares,ff_percent
20MICRONS,265,933.5,514.344716,35226415.09,19409234.57,55.1
21STCENMGM,111.1,116.66,33.67386561,10500450.05,3030951,28.86
360ONE,1106.1,40340.23,15344.58494,364706898.1,138726922.9,38.04
3IINFOLTD,30.39,513.79,460.7176651,169065482.1,151601732.5,89.67
3MINDIA,34247.85,38533.69,9633.282366,11251418.7,2812813.758,25
3PLAND,39,70.2,17.4866094,18000000,4483746,24.91
5PAISA,543.25,1695.93,569.4090753,31218223.65,10481529.23,33.58
63MOONS,517.75,2380.65,1291.464551,45980685.66,24943786.59,54.25
A2ZINFRA,18.55,326.7,234.6653878,176118598.4,126504252.2,71.83
AAATECH,126.66,162.46,46.2632455,12826464.55,3652553.727,28.48
AADHARHFC,458.4,19704.07,3741.690772,429844459,81625016.84,18.99
AAKASH,11.65,117.96,39.30915623,101253218.9,33741765,33.32
AAREYDRUGS,67.25,187.99,81.8653637,27953903.35,12173288.28,43.55
AARON,290.6,304.35,82.00438619,10473158.98,2821899.043,26.94
AARTECH,66.68,176.54,83.36024803,26475704.86,12501536.9,47.22
AARTIDRUGS,507.5,4631.95,1751.338867,91269950.74,34509140.24,37.81
AARTIIND,537.05,19470.91,10817.94037,362553021.1,201432648.2,55.56
AARTIPHARM,616.4,5586.19,2973.649374,90626054.51,48242202.69,53.23
AARVI,145.33,214.86,56.84592205,14784284.04,3911506.368,26.46
AAVAS,1734.15,13706.13,9888.957674,79036588.53,57024811.43,72.15
ABAN,69.5,405.64,214.0186307,58365467.63,30794047.58,52.76
ABB,8586.2,181948.77,44902.39676,211908376.2,52296006.1,24.68
ABBOTINDIA,29073.55,39758.78,9750.164769,13675240.9,3353620.307,24.52
ABCAPITAL,223.8,58303.4,15913.8527,2605156390,711074740.8,27.29
ABDL,336.65,9416.44,1258.87735,279710084.7,37394247.73,13.37
ABFRL,349.8,37468.3,13957.94735,1071134934,399026510.8,37.25
ABMINTLLTD,53.1,49.96,11.98056303,9408662.9,2256226.56,23.98
ABREL,2761.2,30841.41,14418.06618,111695675.8,52216667.33,46.75
ABSLAMC,698.5,20137.52,5033.491796,288296635.6,72061443.04,25
ACC,2299.9,43189.19,15603.56187,187787251.6,67844523.11,36.13
ACCELYA,1760,2627.02,654.0113914,14926250,3715973.815,24.9
ACCURACY,10.26,154.47,56.0948104,150555555.6,54673304.48,36.31
ACE,1345.95,16047.65,5526.775914,119229169,41062267.64,34.44
ACEINTEG,33.88,34.56,9.132364164,10200708.38,2695503,26.42
ACI,669.5,8256.68,3831.64558,123326064.2,57231450.03,46.41
ACL,89.48,824.85,82.47480612,92182610.64,9217121.828,10
ACLGATI,103.68,1523.26,756.4149529,146919367.3,72956689.13,49.66
