Stock,Date,Time,Purpose,AnnounceDate
GESHIP,28-Jan-2025,2025-01-28 00:00:00.0,Financial Results/Dividend,15-Jan-2025
HINDCOPPER,11-Nov-2024,2024-11-11 00:00:00.0,Financial Results,30-Oct-2024
TEJASNET,23-Jan-2025,2025-01-23 00:00:00.0,Financial Results,13-Jan-2025
FINCABLES,12-Nov-2024,2024-11-12 00:00:00.0,Financial Results,29-Oct-2024
NAVINFLUOR,30-Jan-2025,2025-01-30 00:00:00.0,Financial Results,23-Dec-2024
CASTROLIND,03-Feb-2025,2025-02-03 00:00:00.0,Financial Results/Dividend,06-Jan-2025
RBLBANK,18-Jan-2025,2025-01-18 00:00:00.0,Financial Results,09-Jan-2025
MGL,28-Jan-2025,2025-01-28 00:00:00.0,Financial Results/Dividend,20-Jan-2025
ANGELONE,13-Jan-2025,2025-01-13 00:00:00.0,Financial Results,17-Dec-2024
CYIENT,23-Jan-2025,2025-01-23 00:00:00.0,Financial Results,31-Dec-2024
BSOFT,23-Oct-2024,2024-10-23 00:00:00.0,Financial Results/Dividend,15-Oct-2024
ARE%26M,08-Feb-2025,2025-02-08 00:00:00.0,Financial Results,26-Dec-2024
AARTIIND,08-Nov-2024,2024-11-08 00:00:00.0,Financial Results,30-Oct-2024
GSPL,07-Nov-2024,2024-11-07 00:00:00.0,Financial Results,18-Oct-2024
IEX,23-Jan-2025,2025-01-23 00:00:00.0,Financial Results/Dividend,15-Jan-2025
CROMPTON,14-Nov-2024,2024-11-14 00:00:00.0,Financial Results,31-Oct-2024
HFCL,21-Oct-2024,2024-10-21 00:00:00.0,Financial Results,11-Oct-2024
LAURUSLABS,24-Jan-2025,2025-01-24 00:00:00.0,Financial Results,06-Jan-2025
MCX,,,,
PVRINOX,15-Oct-2024,2024-10-15 00:00:00.0,Financial Results/Other business matters,09-Oct-2024
NBCC,13-Nov-2024,2024-11-13 00:00:00.0,Financial Results,28-Oct-2024
NCC,07-Nov-2024,2024-11-07 00:00:00.0,Financial Results,28-Oct-2024
INDIAMART,21-Jan-2025,2025-01-21 00:00:00.0,Financial Results,13-Jan-2025
ZENSARTECH,22-Jan-2025,2025-01-22 00:00:00.0,Financial Results/Dividend,09-Jan-2025
CESC,10-Jan-2025,2025-01-10 00:00:00.0,Financial Results/Dividend,30-Dec-2024
MANAPPURAM,05-Nov-2024,2024-11-05 00:00:00.0,Financial Results/Dividend/Other business matters,17-Oct-2024
SONATSOFTW,06-Nov-2024,2024-11-06 00:00:00.0,Financial Results,31-Oct-2024
CDSL,25-Jan-2025,2025-01-25 00:00:00.0,Financial Results,16-Jan-2025
ATUL,24-Jan-2025,2025-01-24 00:00:00.0,Financial Results,24-Dec-2024
IIFL,23-Dec-2024,2024-12-23 00:00:00.0,Fund Raising,18-Dec-2024
RADICO,29-Jan-2025,2025-01-29 00:00:00.0,Financial Results,13-Jan-2025
PEL,27-Jan-2025,2025-01-27 00:00:00.0,Financial Results,17-Jan-2025
RAMCOCEM,06-Feb-2025,2025-02-06 00:00:00.0,Financial Results,20-Jan-2025
REDINGTON,29-Oct-2024,2024-10-29 00:00:00.0,Financial Results,23-Oct-2024
ZEEL,23-Jan-2025,2025-01-23 00:00:00.0,Financial Results,20-Jan-2025
CAMS,29-Jan-2025,2025-01-29 00:00:00.0,Financial Results/Dividend,23-Dec-2024
KPIL,28-Oct-2024,2024-10-28 00:00:00.0,Financial Results/Fund Raising/Other business matters,23-Oct-2024
ABREL,21-Jan-2025,2025-01-21 00:00:00.0,Financial Results,09-Jan-2025
KARURVYSYA,20-Jan-2025,2025-01-20 00:00:00.0,Financial Results,03-Jan-2025
GLENMARK,14-Nov-2024,2024-11-14 00:00:00.0,Financial Results,30-Oct-2024
NATCOPHARM,12-Nov-2024,2024-11-12 00:00:00.0,Financial Results/Dividend,28-Oct-2024
NATIONALUM,13-Nov-2024,2024-11-13 00:00:00.0,Financial Results/Dividend,10-Nov-2024
360ONE,27-Jan-2025,2025-01-27 00:00:00.0,Financial Results,18-Jan-2025
BRIGADE,29-Jan-2025,2025-01-29 00:00:00.0,Financial Results,20-Jan-2025
RKFORGE,17-Jan-2025,2025-01-17 00:00:00.0,Financial Results/Other business matters,08-Jan-2025
BLUESTARCO,29-Jan-2025,2025-01-29 00:00:00.0,Financial Results,26-Dec-2024
NH,31-Oct-2024,2024-10-31 00:00:00.0,Financial Results,24-Oct-2024
PPLPHARMA,28-Jan-2025,2025-01-28 00:00:00.0,Financial Results,13-Jan-2025
PNBHOUSING,21-Jan-2025,2025-01-21 00:00:00.0,Financial Results/Other business matters,13-Jan-2025
APARINDS,28-Jan-2025,2025-01-28 00:00:00.0,Financial Results,13-Jan-2025
