Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,06-FEB-2026 15:00:00,15:11:35,5.37,0.02,-1406.98,1407,712,35260.0,35375.0,35375.0,34925.0,35179.27,-0.5359661495063469,-190.0
AADHARHFC,06-FEB-2026 15:00:00,15:11:35,11.89,2.51,-218519.49,218522,160342,474.85,471.9,475.45,471.9,474.07,0.4867209819066789,2.3000000000000114
AARTIDRUGS,06-FEB-2026 15:00:00,15:11:35,3.46,0.92,-88906.08,88907,48783,375.6,375.6,377.7,371.3,375.18,0.18671645772207138,0.7000000000000455
AARTIIND,06-FEB-2026 15:00:00,15:11:35,51.17,11.56,-1129309.44,1129321,506194,440.35,451.2,452.85,437.55,442.68,-2.9210758377425043,-13.25
AARTIPHARM,06-FEB-2026 15:00:00,15:11:35,7.2,0.93,-87194.07,87195,34838,775.75,783.35,784.95,763.45,772.11,-0.9701921235718417,-7.600000000000023
AAVAS,06-FEB-2026 15:00:00,15:11:35,133.83,10.23,-1007406.77,1007417,511649,1300.1,1380.0,1388.2,1277.1,1308.55,-5.755708590068872,-79.40000000000009
ABBOTINDIA,06-FEB-2026 15:00:00,15:11:35,9.47,0.03,-3218.97,3219,1961,27350.0,27200.0,27415.0,26915.0,27130.29,0.4960499724416682,135.0
ABDL,06-FEB-2026 15:00:00,15:11:35,6.79,1.33,-107668.67,107670,46414,515.0,510.0,516.15,506.0,511.51,0.009709680551501024,0.049999999999954525
ABFRL,06-FEB-2026 15:00:00,15:11:35,46.65,68.96,-6763310.04,6763379,2365665,68.83,69.47,69.47,66.45,67.65,-2.9059105656651183,-2.0600000000000023
ABLBL,06-FEB-2026 15:00:00,15:11:37,8.54,7.67,-755977.33,755985,341421,111.13,114.0,114.0,109.74,111.25,-2.594442983609438,-2.960000000000008
ABREL,06-FEB-2026 15:00:00,15:11:37,80.23,5.99,-581313.01,581319,146673,1353.3,1302.9,1382.7,1278.3,1339.81,3.8204833141541967,49.799999999999955
ABSLAMC,06-FEB-2026 15:00:00,15:11:37,9.21,1.14,-100205.86,100207,51267,813.5,808.95,818.0,798.55,808.18,0.46310589688175363,3.75
ACC,06-FEB-2026 15:00:00,15:11:37,19.22,1.15,-93806.85,93808,36311,1668.0,1675.0,1689.6,1652.5,1664.67,-0.4892017658990601,-8.200000000000045
ACE,06-FEB-2026 15:00:00,15:11:37,29.43,3.22,-317226.78,317230,136344,919.15,897.0,930.0,883.65,912.91,2.6753798033958813,23.949999999999932
ACI,06-FEB-2026 15:00:00,15:11:37,6.07,1.04,-81451.96,81453,38698,582.9,595.0,595.0,580.7,585.02,-2.222594984483771,-13.25
ACMESOLAR,06-FEB-2026 15:00:00,15:11:37,5.71,2.55,-242887.45,242890,109885,221.63,227.11,227.11,220.2,223.77,-2.326913754351946,-5.280000000000001
ACUTAAS,06-FEB-2026 15:00:00,15:11:37,47.38,2.38,-223203.62,223206,110557,1999.0,1985.0,2010.0,1961.3,1990.59,0.9341075485988387,18.5
ADANIPOWER,06-FEB-2026 15:00:00,15:11:37,243.47,159.5,-15253656.5,15253816,5813459,153.01,152.0,154.11,150.0,152.64,-0.28673835125447883,-0.4399999999999977
ADVENZYMES,06-FEB-2026 15:00:00,15:11:38,1.86,0.64,-62239.36,62240,36861,286.55,289.25,294.1,285.0,288.88,-1.5968406593406517,-4.649999999999977
AEGISLOG,06-FEB-2026 15:00:00,15:11:38,7.79,1.13,-106436.87,106438,50422,691.0,687.05,697.55,684.2,689.3,0.5749217669747538,3.9500000000000455
