Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,11-MAR-2026 11:00:00,12:11:04,17.76,1.68,-109934.32,109936,69607,1058.5,1055.0,1060.6,1046.7,1054.41,0.25573025194165994,2.7000000000000455
ABB,11-MAR-2026 11:00:00,12:11:04,175.67,2.79,-193623.21,193626,95247,6297.0,6230.0,6325.0,6181.0,6287.45,1.1647521889308379,72.5
ABCAPITAL,11-MAR-2026 12:00:00,12:11:04,55.98,16.75,-1564619.25,1564636,856116,330.5,334.8,338.2,329.5,334.09,-0.6015037593984963,-2.0
ADANIENSOL,11-MAR-2026 11:00:00,12:11:04,54.99,5.43,-365739.57,365745,105099,1001.0,1010.0,1031.6,987.4,1012.17,-1.243093922651936,-12.600000000000023
ADANIENT,11-MAR-2026 12:00:00,12:11:04,114.53,5.71,-556014.29,556020,234024,1993.6,2006.6,2027.4,1983.5,2007.04,-0.14525419484097626,-2.900000000000091
ADANIGREEN,11-MAR-2026 11:00:00,12:11:04,168.83,19.44,-1565482.56,1565502,728388,862.55,866.6,877.9,856.0,868.26,0.6593534834869854,5.649999999999977
ADANIPORTS,11-MAR-2026 12:00:00,12:11:04,138.64,9.61,-938945.39,938955,405731,1438.5,1425.0,1454.9,1421.7,1443.36,1.0111649462818686,14.400000000000091
ALKEM,11-MAR-2026 12:00:00,12:11:04,20.86,0.37,-36033.63,36034,18371,5592.0,5662.0,5665.0,5536.5,5586.7,-0.4362147244725363,-24.5
AMBER,11-MAR-2026 12:00:00,12:11:04,85.16,1.15,-113047.85,113049,37083,7407.0,7510.0,7544.5,7378.5,7435.37,-1.3386613386613389,-100.5
AMBUJACEM,11-MAR-2026 12:00:00,12:11:06,37.88,8.11,-797821.89,797830,355183,463.35,462.5,471.35,462.45,466.79,0.2705042198658299,1.25
ANGELONE,11-MAR-2026 12:00:00,12:11:06,49.17,21.96,-2139573.04,2139595,1085772,221.23,226.05,227.7,220.8,223.89,-1.8108384004260851,-4.0800000000000125
APLAPOLLO,11-MAR-2026 11:00:00,12:11:06,36.28,1.72,-115470.28,115472,69384,2106.3,2109.9,2126.5,2095.0,2108.73,0.2713510425592818,5.700000000000273
APOLLOHOSP,11-MAR-2026 11:00:00,12:11:06,89.83,1.16,-78729.84,78731,47754,7721.0,7770.5,7798.5,7701.5,7734.35,-1.050877867486864,-82.0
ASHOKLEY,11-MAR-2026 11:00:00,12:11:06,158.05,82.62,-4117541.38,4117624,2090563,189.01,194.39,195.38,187.97,191.31,-2.3506922917958315,-4.550000000000011
ASIANPAINT,11-MAR-2026 12:00:00,12:11:06,78.28,3.43,-332416.57,332420,173496,2263.8,2290.0,2302.0,2260.5,2281.71,-0.7279424662339901,-16.59999999999991
ASTRAL,11-MAR-2026 12:00:00,12:11:06,194.45,11.46,-1106531.54,1106543,487916,1710.7,1681.8,1714.0,1677.4,1696.33,3.0107785873426867,50.0
AUBANK,11-MAR-2026 12:00:00,12:11:06,82.18,8.76,-851583.24,851592,486567,931.4,937.3,947.5,929.0,937.98,-0.7565263718700078,-7.100000000000023
AUROPHARMA,11-MAR-2026 12:00:00,12:11:06,164.25,12.56,-1166836.44,1166849,583595,1314.0,1291.0,1318.5,1290.0,1307.85,2.1852399097908006,28.09999999999991
AXISBANK,11-MAR-2026 11:00:00,12:11:07,343.92,26.68,-1275318.32,1275345,866023,1274.4,1310.0,1317.5,1272.4,1288.84,-3.0653380999467523,-40.299999999999955
BAJAJ-AUTO,11-MAR-2026 12:00:00,12:11:07,180.63,1.9,-183915.1,183917,93235,9412.0,9575.0,9666.0,9388.0,9520.67,-2.0603537981269513,-198.0
BAJAJFINSV,11-MAR-2026 12:00:00,12:11:07,91.12,4.96,-464043.04,464048,293060,1814.1,1861.0,1874.8,1811.6,1836.16,-2.8750401541921002,-53.700000000000045
BAJAJHLDNG,11-MAR-2026 12:00:00,12:11:07,28.22,0.28,-26102.72,26103,15211,10191.0,10300.0,10419.0,10160.0,10249.49,-0.9524735154048012,-98.0
BAJFINANCE,11-MAR-2026 12:00:00,12:11:07,334.91,36.43,-3204933.57,3204970,2026214,903.3,932.2,941.25,901.8,919.31,-3.883805064907427,-36.5
BANDHANBNK,11-MAR-2026 11:00:00,12:11:08,72.51,39.75,-2422623.25,2422663,989041,183.7,182.0,184.81,180.2,182.44,0.7900801053440129,1.4399999999999977
BANKBARODA,11-MAR-2026 12:00:00,12:11:08,91.89,31.37,-2819333.63,2819365,1529153,291.4,295.0,297.2,289.95,292.92,-1.0190217391304348,-3.0
BANKINDIA,11-MAR-2026 11:00:00,12:11:08,49.57,31.8,-2437221.2,2437253,1246350,154.85,156.95,157.7,154.3,155.89,-0.8452327591726921,-1.3199999999999932
BDL,11-MAR-2026 12:00:00,12:11:08,141.4,10.2,-991176.8,991187,432070,1364.0,1393.0,1426.0,1361.7,1386.36,-1.4735625541751003,-20.40000000000009
BEL,11-MAR-2026 11:00:00,12:11:08,305.08,65.67,-5324381.33,5324447,3056352,461.15,463.5,469.8,459.7,464.53,-0.47480306463797245,-2.2000000000000455
BHARATFORG,11-MAR-2026 11:00:00,12:11:09,56.04,3.04,-193397.96,193401,92809,1834.2,1849.7,1862.8,1827.0,1842.89,-0.43426338074041904,-8.0
BHARTIARTL,11-MAR-2026 11:00:00,12:11:09,795.13,43.48,-3398639.52,3398683,2704497,1803.8,1841.0,1847.7,1803.2,1828.5,-2.518374405533946,-46.600000000000136
BHEL,11-MAR-2026 12:00:00,12:11:09,92.02,35.36,-3325693.64,3325729,1581759,258.55,258.95,262.8,257.65,260.26,-0.03866228494102683,-0.0999999999999659
BIOCON,11-MAR-2026 12:00:00,12:11:09,62.89,15.73,-1501301.27,1501317,710465,401.75,395.8,402.8,394.45,399.9,1.5032844871147013,5.949999999999989
BLUESTARCO,11-MAR-2026 12:00:00,12:11:09,115.43,5.87,-549891.13,549897,165085,1953.9,1905.0,1984.0,1894.9,1965.46,3.5014302362538476,66.10000000000014
BOSCHLTD,11-MAR-2026 11:00:00,12:11:09,29.52,0.09,-6283.91,6284,3146,31805.0,32175.0,32430.0,31800.0,32086.71,-0.8572319201995013,-275.0
BPCL,11-MAR-2026 12:00:00,12:11:09,178.84,54.94,-5348178.06,5348233,3118998,323.75,326.0,328.9,322.75,325.5,-0.6597115679656267,-2.1499999999999773
BRITANNIA,11-MAR-2026 12:00:00,12:11:09,66.7,1.12,-110483.88,110485,66905,5931.0,5981.0,5995.0,5902.5,5932.63,-0.6199731903485255,-37.0
BSE,11-MAR-2026 11:00:00,12:11:09,478.05,16.67,-1253360.33,1253377,536504,2855.6,2871.4,2897.3,2839.0,2868.03,-0.1747885059078515,-5.0
CAMS,11-MAR-2026 12:00:00,12:11:10,56.82,8.39,-824955.61,824964,500698,676.8,674.0,682.0,671.9,677.36,0.8493518104604278,5.699999999999932
CANBK,11-MAR-2026 11:00:00,12:11:10,96.33,67.74,-4738883.26,4738951,2605787,141.11,143.0,143.7,140.75,142.19,-0.8153510929921954,-1.1599999999999966
CDSL,11-MAR-2026 12:00:00,12:11:10,112.24,9.02,-879792.98,879802,453150,1234.7,1249.0,1261.7,1231.0,1244.76,-1.168654446490027,-14.599999999999909
CGPOWER,11-MAR-2026 12:00:00,12:11:10,124.94,16.96,-1634662.04,1634679,739922,735.85,730.4,741.5,725.65,736.83,1.0505355671518783,7.649999999999977
CHOLAFIN,11-MAR-2026 11:00:00,12:11:10,114.97,7.18,-447403.82,447411,227797,1595.8,1620.1,1622.3,1588.6,1600.31,-1.6092237499229383,-26.100000000000136
CIPLA,11-MAR-2026 12:00:00,12:11:10,59.54,4.47,-420250.53,420255,247547,1330.8,1325.0,1338.1,1324.9,1332.13,-0.20247469066367046,-2.7000000000000455
COALINDIA,11-MAR-2026 11:00:00,12:11:10,216.17,48.15,-2920616.85,2920665,1256944,452.05,447.0,453.9,445.15,448.95,1.9163566677939354,8.5
COFORGE,11-MAR-2026 12:00:00,12:11:10,163.72,14.42,-1401425.58,1401440,700689,1121.1,1145.9,1159.4,1118.2,1135.3,-1.5888342696629334,-18.100000000000136
